data,mp10_cupe,mp10_ipojuca,ambos_validos,diferenca_ipojuca_menos_cupe
2021-01-01,,26.2280952380952,FALSE,
2021-01-02,7.24631578947368,25.0845454545455,TRUE,17.8382296650718
2021-01-03,15.0181018518333,28.9995833333333,TRUE,13.9814814815
2021-01-04,7.7978947368421,28.9122395833333,TRUE,21.1143448464912
2021-01-05,9.51111111111111,28.0341666666667,TRUE,18.5230555555556
2021-01-06,19.3023529411765,34.8025,TRUE,15.5001470588235
2021-01-07,14.0575,32.95,TRUE,18.8925
2021-01-08,9.25428571428571,27.0925,TRUE,17.8382142857143
2021-01-09,14.0134782608696,,FALSE,
2021-01-10,14.535,,FALSE,
2021-01-11,22.3675,,FALSE,
2021-01-12,9.62705882352941,18.5736284722083,TRUE,8.94656964867889
2021-01-13,11.5095833333333,21.7020833333333,TRUE,10.1925
2021-01-14,9.115,19.2670833333333,TRUE,10.1520833333333
2021-01-15,13.9225,18.9183333333333,TRUE,4.9958333333333
2021-01-16,19.0875,14.5358333333333,TRUE,-4.5516666666667
2021-01-17,14.5225,14.9095833333333,TRUE,0.387083333333299
2021-01-18,8.863,18.5325,TRUE,9.6695
2021-01-19,10.7945454545455,19.2329166666667,TRUE,8.4383712121212
2021-01-20,10.9504166666667,19.6979166666667,TRUE,8.7475
2021-01-21,10.3321052631579,19.2669565217391,TRUE,8.9348512585812
2021-01-22,13.0311111111111,24.5195454545455,TRUE,11.4884343434344
2021-01-23,17.43,17.1070833333333,TRUE,-0.3229166666667
2021-01-24,14.1619047619048,17.0708333333333,TRUE,2.9089285714285
2021-01-25,12.7468421052632,19.2529166666667,TRUE,6.5060745614035
2021-01-26,10.2210526315789,16.4409090909091,TRUE,6.2198564593302
2021-01-27,16.369,13.1657142857143,TRUE,-3.2032857142857
2021-01-28,14.8471428571429,21.5572222222222,TRUE,6.7100793650793
2021-01-29,13.6534782608696,18.8468421052632,TRUE,5.1933638443936
2021-01-30,11.5410526315789,28.6463636363636,TRUE,17.1053110047847
2021-01-31,15.5565217391304,28.4383333333333,TRUE,12.8818115942029
2021-02-01,10.9895652173913,29.0863636363636,TRUE,18.0967984189723
