ano,cod_estacao,no_estacao,media_quadrimestral_min,media_quadrimestral_max,amplitude_quadrimestral,razao_max_min
2018,14,IFPE,19.1252927400468,20.0554037469379,0.930111006891014,1.04863251086052
2019,PE01,Gaibu,36.5764649054024,43.0358639605071,6.45939905510476,1.17659987294591
2021,13,CUPE,11.0861182156881,15.1908719695183,4.10475375383022,1.37026068764282
2021,12,IPOJUCA,10.9048574233051,19.6549185933256,8.75006117002046,1.80240032770355
2022,16,SUAPE,17.5288981870889,22.2094281163682,4.6805299292794,1.26701791974164
2025,12,IPOJUCA,18.8374073683044,25.9335061112495,7.09609874294508,1.3767025155959
