indicador,valor
n_station_years_analisados,6
n_dias_calendario_total,2190
n_dias_validos_total,1866
n_series_com_12_meses_representativos,2
n_series_com_autocorrelacao_calculada,6
n_comparacoes_espaciais_contemporaneas,1
n_graficos_gerados,3
