ano,cod_estacao,no_estacao,quadrimestre,n_dias_calendario,n_dias_validos,pct_dias_validos,media_quadrimestral,mediana_quadrimestral,desvio_padrao_quadrimestral,cv_quadrimestral_pct,p95_quadrimestral,referencia_anual,diferenca_vs_ref_pct
2018,14,IFPE,1,120,94,78.3333333333333,20.0554037469379,18.7423245614035,5.82155323833988,29.0273549802194,30.4052696078431,19.5489495149826,2.59069793784624
2018,14,IFPE,2,123,120,97.5609756097561,19.3675858938767,18.375,5.00271841359656,25.8303664742142,28.8663690476191,19.5489495149826,-0.927741007090662
2018,14,IFPE,3,122,61,50,19.1252927400468,18.2083333333333,4.18726645683816,21.8938685736839,25.1666666666667,19.5489495149826,-2.16715877551917
2019,PE01,Gaibu,1,120,85,70.8333333333333,36.5764649054024,35.6,13.9634525408048,38.1760582301172,57.1083333333333,40.8194100000892,-10.394430234728
2019,PE01,Gaibu,2,123,116,94.3089430894309,42.7629155299416,41.1875,18.0056776752655,42.1058233568251,72.8541666666667,40.8194100000892,4.76122886109365
2019,PE01,Gaibu,3,122,61,50,43.0358639605071,40.55,10.0951238183964,23.4574675383778,57.6666666666667,40.8194100000892,5.42990200106536
2021,13,CUPE,1,120,107,89.1666666666667,13.3125838959717,12.085,5.75573827249389,43.2353201863055,24.87275,13.2158351775256,0.732066624215968
2021,13,CUPE,2,123,118,95.9349593495935,11.0861182156881,11.038244047619,2.97484368133239,26.8339523668677,15.8363777173913,13.2158351775256,-16.1148874303397
2021,13,CUPE,3,122,122,100,15.1908719695183,14.0705357142857,5.4263490733671,35.7211164984834,24.2593601190476,13.2158351775256,14.9444720326976
2021,12,IPOJUCA,1,120,89,74.1666666666667,15.390155240481,13.1758333333333,7.08566023139111,46.0402128547319,28.9646458333333,15.3629089992053,0.177350795198174
2021,12,IPOJUCA,2,123,118,95.9349593495935,10.9048574233051,10.235,3.95513868780837,36.2695130644782,17.8564166666667,15.3629089992053,-29.0182775679449
2021,12,IPOJUCA,3,122,122,100,19.6549185933256,18.9325,5.23447246387652,26.6318704858643,29.6753605072464,15.3629089992053,27.9374797724982
2022,16,SUAPE,1,120,105,87.5,22.2094281163682,20.4090909090909,8.95139069200847,40.3044627943902,35.4523809523809,20.4288476896859,8.71601009381125
2022,16,SUAPE,2,123,119,96.7479674796748,17.5288981870889,16.9583333333333,4.84659598688868,27.6491764351653,26.4480072463768,20.4288476896859,-14.1953650379467
2022,16,SUAPE,3,122,117,95.9016393442623,21.7804121854757,21.0434782608696,6.84616644192383,31.432676221294,28.9960784313725,20.4288476896859,6.61596050996142
2025,12,IPOJUCA,1,120,108,90,25.0042250671243,24.0456875,12.1866680495426,48.7384352717484,34.6016145833333,23.3601851871563,7.03778615964007
2025,12,IPOJUCA,2,123,99,80.4878048780488,18.8374073683044,18.2888333333333,5.99021241796187,31.799558722932,30.3571291666667,23.3601851871563,-19.3610529309441
2025,12,IPOJUCA,3,122,105,86.0655737704918,25.9335061112495,25.6824166666667,4.88745155878642,18.8460886770198,32.993375,23.3601851871563,11.0158412849741
