fonte_dados,cod_estacao,datahora_local,nome_estacao,n_registros,n_valores_distintos,valores_mm,arquivos
CEMADEN,260005402A,2025-10-01T14:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T15:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T15:10:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T16:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T16:10:00Z,ABREU E LIMA - APAC,2,1,0.98,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T16:30:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T16:40:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T17:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T17:10:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T18:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T19:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T19:20:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T19:30:00Z,ABREU E LIMA - APAC,2,1,0.98,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T20:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T20:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T21:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T21:50:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T22:00:00Z,ABREU E LIMA - APAC,2,1,1.37,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T23:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T00:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T00:20:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T00:30:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T00:40:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T01:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T01:30:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T02:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T02:10:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T02:30:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T02:40:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T02:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T03:10:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T04:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T05:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T05:10:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T05:20:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T05:30:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T06:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T06:20:00Z,ABREU E LIMA - APAC,2,1,0.98,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T06:30:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T06:40:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T06:50:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T07:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T07:10:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T07:50:00Z,ABREU E LIMA - APAC,2,1,0.98,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T08:00:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T08:10:00Z,ABREU E LIMA - APAC,2,1,2.16,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T08:20:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T08:40:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T09:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T09:40:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T09:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T10:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T10:40:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T11:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T12:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T13:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T14:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T15:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T16:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T17:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T18:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T19:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T20:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T21:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-02T22:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
