fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes
CEMADEN,260090602A,G2-260090602A | G2-Hospital Alice B. dos Anjos,AMARAJI,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.37275,-8.350951,-35.50448,-35.4565,4251,2025-08-30T15:50:00Z,2025-12-31T23:10:00Z,2025,0,0,1688,0
CEMADEN,260090603A,G2-260090603A | G2-EM. SJ da Boa Esperança,AMARAJI,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.380926,-8.380878,-35.45024,-35.450108,4179,2025-08-30T11:30:00Z,2025-12-31T23:10:00Z,2025,0,0,1636,0
CEMADEN,260090604A,G2-260090604A | G2-Escola Nova Esperança,AMARAJI,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.374107,-8.369778,-35.46077,-35.457837,1915,2025-08-12T13:50:00Z,2025-12-01T14:20:00Z,2025,0,0,672,0
CEMADEN,260100301A,ANGELIM - APAC,ANGELIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.888056,-8.888056,-36.286389,-36.286389,54417,2017-12-06T20:50:00Z,2025-10-01T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,8,0
CEMADEN,260105201A,ARACOIABA - APAC,ARAÇOIABA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.789111,-7.789111,-35.091472,-35.091472,74583,2017-11-09T04:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1728,0
CEMADEN,260110201A,GERGILIN - APAC,ARARIPINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.808306,-7.808306,-40.4875,-40.4875,17420,2018-06-07T11:50:00Z,2024-07-11T15:20:00Z,2018;2019;2020;2021;2024,0,0,0,0
CEMADEN,260110202A,Araripina - APAC,ARARIPINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.5771,-7.5771,-40.5058,-40.5058,12886,2024-02-21T15:00:00Z,2025-12-31T23:40:00Z,2024;2025,0,0,1570,0
CEMADEN,260110203A,G2-260110203A | G2-Lagoa do Barro,ARARIPINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.769,-7.764,-40.3675,-40.363,3164,2025-09-22T16:00:00Z,2025-12-31T23:10:00Z,2025,0,0,1482,0
CEMADEN,260110204A,G2-260110204A | G2-Parque Três Vaqueiros,ARARIPINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.60416,-7.6041,-40.4903,-40.49027,3258,2025-09-10T20:10:00Z,2025-12-31T23:10:00Z,2025,0,0,1548,0
CEMADEN,260110206A,G2-260110206A | G2-Marcolândia,ARARIPINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.44777,-7.4477,-40.65833,-40.658,3207,2025-09-22T13:10:00Z,2025-12-31T23:10:00Z,2025,0,0,1498,0
CEMADEN,260110207A,G2-260110207A | G2-Escola Luzanira Ramos,ARARIPINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.5744,-7.5744,-40.4945,-40.4945,3071,2025-09-22T14:50:00Z,2025-12-31T23:10:00Z,2025,0,0,1546,0
CEMADEN,260120101A,IPOJUCA - APAC,ARCOVERDE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.43354,-8.43354,-37.05538,-37.05538,19008,2023-07-01T00:20:00Z,2025-12-02T03:30:00Z,2023;2024;2025,0,0,46,0
CEMADEN,260120101C,ARCOVERDE,ARCOVERDE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.405,-8.405,-36.983694,-36.983694,15018,2017-05-25T09:20:00Z,2022-06-30T19:00:00Z,2017;2018;2019;2020;2022,0,0,2,0
CEMADEN,260130001A,Centro,BARRA DE GUABIRABA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.418,-8.418,-35.664,-35.664,99922,2017-01-01T03:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,798,0
