fonte_dados,ano,mes,n_registros,n_estacoes,mes_presente
INMET,2020,6,10350,24,TRUE
INMET,2020,7,10695,24,TRUE
INMET,2020,8,10694,24,TRUE
INMET,2020,9,10260,23,TRUE
INMET,2020,10,10602,23,TRUE
INMET,2020,11,10260,23,TRUE
INMET,2020,12,10602,23,TRUE
INMET,2021,1,10602,23,TRUE
INMET,2021,2,9576,23,TRUE
INMET,2021,3,10602,23,TRUE
INMET,2021,4,10260,23,TRUE
INMET,2021,5,10602,23,TRUE
INMET,2021,6,10260,23,TRUE
INMET,2021,7,10602,23,TRUE
INMET,2021,8,10602,23,TRUE
INMET,2021,9,10260,23,TRUE
INMET,2021,10,10602,23,TRUE
INMET,2021,11,9801,23,TRUE
INMET,2021,12,9858,22,TRUE
INMET,2022,1,9858,22,TRUE
INMET,2022,2,8904,22,TRUE
INMET,2022,3,9858,22,TRUE
INMET,2022,4,9540,22,TRUE
INMET,2022,5,9858,22,TRUE
INMET,2022,6,9540,22,TRUE
INMET,2022,7,9858,22,TRUE
INMET,2022,8,9858,22,TRUE
INMET,2022,9,9540,22,TRUE
INMET,2022,10,9858,22,TRUE
INMET,2022,11,9482,22,TRUE
INMET,2022,12,9765,21,TRUE
INMET,2023,1,9765,21,TRUE
INMET,2023,2,8820,21,TRUE
INMET,2023,3,9765,21,TRUE
INMET,2023,4,9450,21,TRUE
INMET,2023,5,9765,21,TRUE
INMET,2023,6,9450,21,TRUE
INMET,2023,7,9765,21,TRUE
INMET,2023,8,9765,21,TRUE
INMET,2023,9,9450,21,TRUE
INMET,2023,10,9765,21,TRUE
INMET,2023,11,9450,21,TRUE
INMET,2023,12,9765,21,TRUE
INMET,2024,1,9765,21,TRUE
INMET,2024,2,9135,21,TRUE
INMET,2024,3,9765,21,TRUE
INMET,2024,4,9450,21,TRUE
INMET,2024,5,9765,21,TRUE
INMET,2024,6,9450,21,TRUE
INMET,2024,7,9765,21,TRUE
INMET,2024,8,9765,21,TRUE
INMET,2024,9,9450,21,TRUE
INMET,2024,10,9765,21,TRUE
INMET,2024,11,9450,21,TRUE
INMET,2024,12,9765,21,TRUE
INMET,2025,1,9765,21,TRUE
INMET,2025,2,8820,21,TRUE
INMET,2025,3,9765,21,TRUE
INMET,2025,4,9450,21,TRUE
INMET,2025,5,9765,21,TRUE
INMET,2025,6,9450,21,TRUE
INMET,2025,7,9674,21,TRUE
INMET,2025,8,9672,20,TRUE
INMET,2025,9,9360,20,TRUE
INMET,2025,10,9672,20,TRUE
INMET,2025,11,9360,20,TRUE
INMET,2025,12,9628,20,TRUE
