fonte_dados,cod_estacao,nome_estacao,ano,n_registros,n_registros_com_valor,n_registros_sem_valor,n_datas_com_registro,n_meses_com_registro,inicio,fim,precipitacao_min,precipitacao_max
CEMADEN,260030201A,AGRESTINA - APAC,2020,5777,5777,0,201,8,2020-01-01T06:40:00Z,2020-08-12T20:40:00Z,0,16.47
CEMADEN,260030201A,AGRESTINA - APAC,2021,4032,4032,0,151,5,2021-08-03T19:40:00Z,2022-01-01T02:40:00Z,0,5.91
CEMADEN,260030201A,AGRESTINA - APAC,2022,10708,10708,0,365,12,2022-01-01T03:30:00Z,2023-01-01T02:40:00Z,0,18.31
CEMADEN,260030201A,AGRESTINA - APAC,2023,10370,10370,0,365,12,2023-01-01T03:40:00Z,2024-01-01T02:40:00Z,0,14.51
CEMADEN,260030201A,AGRESTINA - APAC,2024,8478,8478,0,336,12,2024-01-01T03:40:00Z,2025-01-01T01:40:00Z,0,10.98
CEMADEN,260030201A,AGRESTINA - APAC,2025,8464,8464,0,303,12,2025-01-01T03:20:00Z,2025-12-31T23:40:00Z,0,4.72
CEMADEN,260040101A,Bairro D´Ouro,2017,14062,14062,0,362,12,2017-01-01T03:00:00Z,2018-01-01T02:30:00Z,0,12.26
CEMADEN,260040101A,Bairro D´Ouro,2018,9727,9727,0,355,12,2018-01-01T03:30:00Z,2018-12-25T12:10:00Z,0,9.71
CEMADEN,260040101A,Bairro D´Ouro,2019,4604,4604,0,206,10,2019-01-04T15:10:00Z,2019-12-15T10:10:00Z,0,8.93
CEMADEN,260040101A,Bairro D´Ouro,2020,6482,6482,0,259,10,2020-01-05T14:30:00Z,2021-01-01T02:30:00Z,0,635.48
CEMADEN,260040101A,Bairro D´Ouro,2021,10674,10674,0,362,12,2021-01-01T03:30:00Z,2022-01-01T02:30:00Z,0,10.58
CEMADEN,260040101A,Bairro D´Ouro,2022,10863,10863,0,362,12,2022-01-01T03:30:00Z,2023-01-01T02:30:00Z,0,46.79
CEMADEN,260040101A,Bairro D´Ouro,2023,9587,9587,0,356,12,2023-01-01T03:30:00Z,2024-01-01T02:30:00Z,0,21.02
CEMADEN,260040101A,Bairro D´Ouro,2024,10159,10159,0,366,12,2024-01-01T03:30:00Z,2025-01-01T02:30:00Z,0,15.36
CEMADEN,260040101A,Bairro D´Ouro,2025,7032,7032,0,362,12,2025-01-01T03:30:00Z,2025-12-31T17:30:00Z,0,54.13
CEMADEN,260040102A,AGUA PRETA - APAC,2017,990,990,0,42,2,2017-11-18T03:30:00Z,2018-01-01T02:40:00Z,0,4.72
CEMADEN,260040102A,AGUA PRETA - APAC,2018,10270,10270,0,365,12,2018-01-01T03:40:00Z,2019-01-01T02:40:00Z,0,9.79
CEMADEN,260040102A,AGUA PRETA - APAC,2019,4955,4955,0,212,11,2019-01-01T03:40:00Z,2019-11-13T05:40:00Z,0,16.46
CEMADEN,260040102A,AGUA PRETA - APAC,2022,1,1,0,1,1,2022-10-24T15:00:00Z,2022-10-24T15:00:00Z,0,0
CEMADEN,260050001A,Garanhuns,2017,5027,5027,0,207,11,2017-01-21T00:10:00Z,2018-01-01T02:20:00Z,0,7.3
CEMADEN,260050001A,Garanhuns,2018,8575,8575,0,361,12,2018-01-01T03:20:00Z,2019-01-01T02:20:00Z,0,12.78
CEMADEN,260050001A,Garanhuns,2019,7161,7161,0,328,12,2019-01-01T03:20:00Z,2019-12-20T01:20:00Z,0,16.67
CEMADEN,260050001A,Garanhuns,2021,8051,8051,0,297,10,2021-03-10T16:30:00Z,2022-01-01T02:20:00Z,0,10.37
CEMADEN,260050001A,Garanhuns,2022,5331,5331,0,206,8,2022-01-01T03:20:00Z,2022-11-15T11:20:00Z,0,13.84
CEMADEN,260050001A,Garanhuns,2023,918,918,0,44,4,2023-02-01T01:10:00Z,2024-01-01T02:20:00Z,0,8.14
CEMADEN,260050001A,Garanhuns,2024,9055,9055,0,362,12,2024-01-01T03:20:00Z,2024-12-31T20:20:00Z,0,15.42
