"ano","cod_estacao","no_estacao","n_dias_ref_16h","n_dias_ref_18h","n_dias_ref_20h","n_dias_ref_24h","ref_16h_bruta","ref_18h_bruta","ref_20h_bruta","ref_24h_bruta","ref_16h_mediana_dup_bruta","ano_rep_16h","ano_rep_18h","ano_rep_20h","ano_rep_24h","menor_pct_quad_16h","menor_pct_quad_18h","menor_pct_quad_20h","menor_pct_quad_24h","referencia_anual_principal","referencia_anual_sens_18h","referencia_anual_sens_20h","referencia_anual_sens_24h","referencia_16h_sens_mediana_dup","dif_abs_ref_media_vs_mediana_dup","dif_pct_ref_media_vs_mediana_dup","dif_pct_ref_18h_vs_16h","dif_pct_ref_20h_vs_16h","dif_pct_ref_24h_vs_16h"
2022,"12","IPOJUCA",183,176,166,125,17.0010706400666,16.9891759730105,17.2664128473093,17.050880746,17.0010706400666,FALSE,FALSE,FALSE,FALSE,21.6666666666667,18.3333333333333,16.6666666666667,5.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"13","CUPE",176,173,163,87,13.7430477595254,13.7607591453588,13.7800905104276,13.3612595785441,13.7430477595254,FALSE,FALSE,FALSE,FALSE,20,19.1666666666667,17.5,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"14","IFPE",160,157,151,67,18.946025700954,18.8677389144229,18.1874368546537,19.1227399919154,18.946025700954,FALSE,FALSE,FALSE,FALSE,15,13.3333333333333,10.8333333333333,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"15","CPRH",179,178,175,145,38.4025097570422,38.4595463287109,38.4381460702858,38.908132183908,38.4025097570422,FALSE,FALSE,FALSE,FALSE,21.6666666666667,20.8333333333333,20.8333333333333,11.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"16","SUAPE",341,332,318,144,20.4288476896859,20.2057104991334,20.0380594442018,19.6866319444444,20.4288476896859,TRUE,TRUE,TRUE,FALSE,87.5,85,84.1666666666667,36.0655737704918,20.4288476896859,20.2057104991334,20.0380594442018,NA,20.4288476896859,0,0,-1.09226518275485,-1.91292358443413,NA
2024,"12","IPOJUCA",162,160,154,131,23.7095995536553,23.7879302328186,23.8748778449882,24.5948355597964,23.7095995536553,FALSE,FALSE,FALSE,FALSE,0.826446280991736,0.826446280991736,0.826446280991736,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"13","CUPE",127,124,118,99,23.9169864562337,23.9190911155164,24.1310546146006,23.8583863636364,23.9169864562337,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"14","IFPE",41,37,29,25,22.6382973167765,22.5737969670799,22.0959242610837,22.1888683333333,22.6382973167765,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"15","CPRH",118,114,108,77,33.1761679492484,33.2933202237834,33.0552403044419,33.349579004329,33.1761679492484,FALSE,FALSE,FALSE,FALSE,1.65289256198347,1.65289256198347,1.65289256198347,0.826446280991736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"12","IPOJUCA",312,309,303,284,23.3601851871563,23.4181373467879,23.414672896125,23.5436553697183,23.3601851871563,TRUE,TRUE,TRUE,TRUE,80.4878048780488,78.8617886178862,76.4227642276423,69.9186991869919,23.3601851871563,23.4181373467879,23.414672896125,23.5436553697183,23.3601851871563,0,0,0.24808090846598,0.233250329705057,0.785396952516119
2025,"13","CUPE",67,66,65,60,20.156662483932,20.2467530139916,20.2860285664336,20.2361006944444,20.156662483932,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"14","IFPE",43,40,36,24,16.1109000334823,16.2152472234935,16.1295137278583,15.1553541666667,16.1109000334823,FALSE,FALSE,FALSE,FALSE,3.2520325203252,3.2520325203252,2.4390243902439,0.813008130081301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"15","CPRH",39,37,37,33,38.4953023014567,36.2950563209313,36.2950563209313,35.1163118686869,38.4953023014567,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
