"ano","cod_estacao","no_estacao","quadrimestre","n_dias_calendario","minimo_50pct","n_dias_16h","n_dias_18h","n_dias_20h","n_dias_24h","rep_quad_16h","rep_quad_18h","rep_quad_20h","rep_quad_24h"
2022,"13","CUPE",1,120,60,24,23,21,8,FALSE,FALSE,FALSE,FALSE
2022,"13","CUPE",2,123,62,33,33,30,17,FALSE,FALSE,FALSE,FALSE
2022,"13","CUPE",3,122,61,119,117,112,62,TRUE,TRUE,TRUE,TRUE
2022,"14","IFPE",1,120,60,18,16,13,3,FALSE,FALSE,FALSE,FALSE
2022,"14","IFPE",2,123,62,36,35,35,16,FALSE,FALSE,FALSE,FALSE
2022,"14","IFPE",3,122,61,106,106,103,48,TRUE,TRUE,TRUE,FALSE
2022,"15","CPRH",1,120,60,26,25,25,14,FALSE,FALSE,FALSE,FALSE
2022,"15","CPRH",2,123,62,35,35,34,31,FALSE,FALSE,FALSE,FALSE
2022,"15","CPRH",3,122,61,118,118,116,100,TRUE,TRUE,TRUE,TRUE
2022,"16","SUAPE",1,120,60,105,102,101,46,TRUE,TRUE,TRUE,FALSE
2022,"16","SUAPE",2,123,62,119,117,113,54,TRUE,TRUE,TRUE,FALSE
2022,"16","SUAPE",3,122,61,117,113,104,44,TRUE,TRUE,TRUE,FALSE
2024,"12","IPOJUCA",1,121,61,1,1,1,0,FALSE,FALSE,FALSE,FALSE
2024,"12","IPOJUCA",2,123,62,72,71,67,50,TRUE,TRUE,TRUE,FALSE
2024,"12","IPOJUCA",3,122,61,89,88,86,81,TRUE,TRUE,TRUE,TRUE
2024,"13","CUPE",1,121,61,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2024,"13","CUPE",2,123,62,40,38,36,29,FALSE,FALSE,FALSE,FALSE
2024,"13","CUPE",3,122,61,87,86,82,70,TRUE,TRUE,TRUE,TRUE
2024,"14","IFPE",1,121,61,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2024,"14","IFPE",2,123,62,17,14,12,10,FALSE,FALSE,FALSE,FALSE
2024,"14","IFPE",3,122,61,24,23,17,15,FALSE,FALSE,FALSE,FALSE
2024,"15","CPRH",1,121,61,2,2,2,1,FALSE,FALSE,FALSE,FALSE
2024,"15","CPRH",2,123,62,60,58,57,36,FALSE,FALSE,FALSE,FALSE
2024,"15","CPRH",3,122,61,56,54,49,40,FALSE,FALSE,FALSE,FALSE
2025,"12","IPOJUCA",1,120,60,108,107,107,100,TRUE,TRUE,TRUE,TRUE
2025,"12","IPOJUCA",2,123,62,99,97,94,86,TRUE,TRUE,TRUE,TRUE
2025,"12","IPOJUCA",3,122,61,105,105,102,98,TRUE,TRUE,TRUE,TRUE
2025,"13","CUPE",1,120,60,67,66,65,60,TRUE,TRUE,TRUE,TRUE
2025,"13","CUPE",2,123,62,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2025,"13","CUPE",3,122,61,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2025,"14","IFPE",1,120,60,18,18,17,13,FALSE,FALSE,FALSE,FALSE
2025,"14","IFPE",2,123,62,4,4,3,1,FALSE,FALSE,FALSE,FALSE
2025,"14","IFPE",3,122,61,21,18,16,10,FALSE,FALSE,FALSE,FALSE
2025,"15","CPRH",1,120,60,39,37,37,33,FALSE,FALSE,FALSE,FALSE
2025,"15","CPRH",2,123,62,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2025,"15","CPRH",3,122,61,0,0,0,0,FALSE,FALSE,FALSE,FALSE
