fonte_dados,cod_estacao,estacao_historica,ano_alvo,estacao_mp10,municipio_mp10,distancia_km,nota,n_dias_mp10_validos,n_dias_precip_com_valor,n_overlap_primario,n_overlap_sens_1,n_overlap_sens_2,n_overlap_convencional,tipo_regra,criterio_primario,elegivel_pareamento_primario,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,pct_overlap_convencional,nome_estacao,municipios,tipo_estacao,periodicidade_fonte,faixa_operacional
CEMADEN,260290204A,IFPE,2018,IFPE,Ipojuca,11.2670570461699,Referencia anual elegivel IFPE 2018,275,275,249,257,262,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,90.5454545454545,93.4545454545455,95.2727272727273,0,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260720803A,IFPE,2018,IFPE,Ipojuca,14.2515483795198,Referencia anual elegivel IFPE 2018,275,275,256,262,265,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,93.0909090909091,95.2727272727273,96.3636363636364,0,Porto de Galinhas,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260720802A,IFPE,2018,IFPE,Ipojuca,16.5684663669388,Referencia anual elegivel IFPE 2018,275,239,207,221,226,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,86.9090909090909,75.2727272727273,80.3636363636364,82.1818181818182,0,Camela,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290205A,IFPE,2018,IFPE,Ipojuca,18.2351955265537,Referencia anual elegivel IFPE 2018,275,121,102,106,111,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,44,37.0909090909091,38.5454545454546,40.3636363636364,0,Pontes dos Carvalhos,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260720801G,IPOJUCA,2021,IPOJUCA,Ipojuca,6.92640747959743,Referencia anual elegivel IPOJUCA 2021,329,329,195,294,311,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,59.2705167173252,89.3617021276596,94.5288753799392,0,Campo do Avião,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260720804A,IPOJUCA,2021,IPOJUCA,Ipojuca,7.14376732272583,Referencia anual elegivel IPOJUCA 2021,329,329,279,291,293,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,84.8024316109423,88.4498480243161,89.0577507598784,0,Rurópolis,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260720801A,IPOJUCA,2021,IPOJUCA,Ipojuca,7.32836097674827,Referencia anual elegivel IPOJUCA 2021,329,329,287,295,304,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,87.2340425531915,89.6656534954408,92.4012158054711,0,Centro,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260720802A,IPOJUCA,2021,IPOJUCA,Ipojuca,14.0424406796913,Referencia anual elegivel IPOJUCA 2021,329,323,269,277,278,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,98.1762917933131,81.7629179331307,84.19452887538,84.4984802431611,0,Camela,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290204A,IPOJUCA,2021,IPOJUCA,Ipojuca,14.1521806232538,Referencia anual elegivel IPOJUCA 2021,329,325,260,274,281,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,98.7841945288754,79.0273556231003,83.2826747720365,85.4103343465046,0,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260720805A,IPOJUCA,2021,IPOJUCA,Ipojuca,15.7473789123554,Referencia anual elegivel IPOJUCA 2021,329,168,71,79,82,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,51.0638297872341,21.580547112462,24.0121580547113,24.9240121580547,0,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
