indicador,valor
n_estacoes_cemaden,453
n_estacoes_inmet_automaticas,13
n_estacoes_inmet_convencionais,12
n_estacao_ano_cemaden,2753
n_estacao_ano_inmet_auto,113
n_estacao_ano_inmet_conv,93
n_candidatos_alvos_ate50km,434
n_candidatos_primarios_ate20km,39
n_alvos_mp10_avaliados,4
