fonte_dados,cod_estacao,estacao_historica,ano_alvo,estacao_mp10,municipio_mp10,distancia_km,nota,n_dias_mp10_validos,n_dias_precip_com_valor,n_overlap_primario,n_overlap_sens_1,n_overlap_sens_2,n_overlap_convencional,tipo_regra,criterio_primario,elegivel_pareamento_primario,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,pct_overlap_convencional,nome_estacao,municipios,tipo_estacao,periodicidade_fonte,faixa_operacional
CEMADEN,260720801G,CUPE,2021,EDCUPE,Ipojuca,1.69909448841243,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,347,208,310,327,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,59.9423631123919,89.3371757925072,94.2363112391931,0,Campo do Avião,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260720801A,CUPE,2021,EDCUPE,Ipojuca,2.31199229299342,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,347,305,313,322,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,87.8962536023055,90.2017291066282,92.7953890489914,0,Centro,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260720804A,CUPE,2021,EDCUPE,Ipojuca,3.31306361103069,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,347,295,308,310,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,85.014409221902,88.7608069164265,89.3371757925072,0,Rurópolis,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260720801G,IFPE,2018,IFPE,Ipojuca,2.42850980511155,Referencia anual elegivel IFPE 2018,275,0,0,0,0,0,,,FALSE,0,0,0,0,0,Campo do Avião,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260720801A,IFPE,2018,IFPE,Ipojuca,2.94037517011968,Referencia anual elegivel IFPE 2018,275,275,248,255,263,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,90.1818181818182,92.7272727272727,95.6363636363636,0,Centro,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260720804A,IFPE,2018,IFPE,Ipojuca,4.23417961072742,Referencia anual elegivel IFPE 2018,275,275,253,265,269,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,92,96.3636363636364,97.8181818181818,0,Rurópolis,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260290202A,IFPE,2018,IFPE,Ipojuca,9.86964956137547,Referencia anual elegivel IFPE 2018,275,59,0,0,0,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,21.4545454545455,0,0,0,0,Charneca,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260720801G,IPOJUCA,2021,IPOJUCA,Ipojuca,6.92640747959743,Referencia anual elegivel IPOJUCA 2021,329,329,195,294,311,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,59.2705167173252,89.3617021276596,94.5288753799392,0,Campo do Avião,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260720803A,IPOJUCA,2021,IPOJUCA,Ipojuca,7.13664869561147,Referencia anual elegivel IPOJUCA 2021,329,0,0,0,0,0,,,FALSE,0,0,0,0,0,Porto de Galinhas,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260720804A,IPOJUCA,2021,IPOJUCA,Ipojuca,7.14376732272583,Referencia anual elegivel IPOJUCA 2021,329,329,279,291,293,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,84.8024316109423,88.4498480243161,89.0577507598784,0,Rurópolis,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
