fonte_dados,cod_estacao,nome_estacao,municipios,tipo_regra,tipo_estacao,ano,criterio_primario,elegivel_pareamento_primario,n_dias_calendario,n_dias_com_valor,n_dias_cobertura_primaria,n_dias_sens_1,n_dias_sens_2,prop_cobertura_primaria,prop_sens_1,prop_sens_2,n_dias_disponibilidade_convencional,maior_lacuna_dias_sem_cobertura_primaria,p95_maior_gap_dia_min
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,AFOGADOS DA INGAZEIRA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2020,CEMADEN_MAX_GAP_60MIN,TRUE,366,178,161,163,167,0.439890710382514,0.445355191256831,0.456284153005465,0,189,110
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,AFOGADOS DA INGAZEIRA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2021,CEMADEN_MAX_GAP_60MIN,TRUE,365,265,210,212,218,0.575342465753425,0.580821917808219,0.597260273972603,0,128,3359.99999999999
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,AFOGADOS DA INGAZEIRA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,320,328,331,0.876712328767123,0.898630136986301,0.906849315068493,0,4,120
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,AFOGADOS DA INGAZEIRA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2023,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,343,345,353,0.93972602739726,0.945205479452055,0.967123287671233,0,3,80
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,AFOGADOS DA INGAZEIRA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,351,300,316,323,0.819672131147541,0.863387978142077,0.882513661202186,0,14,140
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,AFOGADOS DA INGAZEIRA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2025,CEMADEN_MAX_GAP_60MIN,TRUE,365,177,92,122,137,0.252054794520548,0.334246575342466,0.375342465753425,0,129,9850
CEMADEN,260020301A,ARIZONA - APAC,AFRÂNIO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,118,0,0,0,0,0,0,0,365,30150
CEMADEN,260020301A,ARIZONA - APAC,AFRÂNIO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,62,0,0,0,0,0,0,0,365,16460
CEMADEN,260020301U,AFRANIO,AFRÂNIO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,29,7,7,7,0.0191780821917808,0.0191780821917808,0.0191780821917808,0,247,40980
CEMADEN,260020301U,AFRANIO,AFRÂNIO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,171,61,61,61,0.167123287671233,0.167123287671233,0.167123287671233,0,164,10110
CEMADEN,260020301U,AFRANIO,AFRÂNIO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,29,27,27,27,0.073972602739726,0.073972602739726,0.073972602739726,0,206,191003.999999999
CEMADEN,260020301U,AFRANIO,AFRÂNIO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,77,73,73,73,0.2,0.2,0.2,0,166,60
CEMADEN,260020302A,Afrânio [Centro] - APAC,AFRÂNIO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,157,137,138,139,0.37431693989071,0.377049180327869,0.379781420765027,0,216,1740
CEMADEN,260020302A,Afrânio [Centro] - APAC,AFRÂNIO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2025,CEMADEN_MAX_GAP_60MIN,TRUE,365,364,300,305,313,0.821917808219178,0.835616438356164,0.857534246575342,0,3,229
CEMADEN,260030201A,AGRESTINA - APAC,AGRESTINA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,209,169,174,176,0.463013698630137,0.476712328767123,0.482191780821918,0,135,2164.49999999999
CEMADEN,260030201A,AGRESTINA - APAC,AGRESTINA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2020,CEMADEN_MAX_GAP_60MIN,TRUE,366,201,173,183,184,0.472677595628415,0.5,0.502732240437159,0,142,180
