arquivo,cod_estacao,nome_estacao,tipo_estacao,variavel,coluna_detectada,coluna_encontrada
dados_A341_H_2017-01-01_2025-12-31.csv,A341,CARUARU,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A349_H_2017-01-01_2025-12-31.csv,A349,IBIMIRIM,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A349_H_2017-01-01_2025-12-31.csv,A349,IBIMIRIM,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A349_H_2017-01-01_2025-12-31.csv,A349,IBIMIRIM,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A349_H_2017-01-01_2025-12-31.csv,A349,IBIMIRIM,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A349_H_2017-01-01_2025-12-31.csv,A349,IBIMIRIM,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A350_H_2017-01-01_2025-12-31.csv,A350,SERRA TALHADA,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A350_H_2017-01-01_2025-12-31.csv,A350,SERRA TALHADA,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A350_H_2017-01-01_2025-12-31.csv,A350,SERRA TALHADA,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A350_H_2017-01-01_2025-12-31.csv,A350,SERRA TALHADA,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A350_H_2017-01-01_2025-12-31.csv,A350,SERRA TALHADA,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A351_H_2017-01-01_2025-12-31.csv,A351,FLORESTA,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A351_H_2017-01-01_2025-12-31.csv,A351,FLORESTA,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A351_H_2017-01-01_2025-12-31.csv,A351,FLORESTA,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A351_H_2017-01-01_2025-12-31.csv,A351,FLORESTA,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A351_H_2017-01-01_2025-12-31.csv,A351,FLORESTA,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A357_H_2017-01-01_2025-12-31.csv,A357,PALMARES,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A357_H_2017-01-01_2025-12-31.csv,A357,PALMARES,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A357_H_2017-01-01_2025-12-31.csv,A357,PALMARES,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A357_H_2017-01-01_2025-12-31.csv,A357,PALMARES,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A357_H_2017-01-01_2025-12-31.csv,A357,PALMARES,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A366_H_2017-01-01_2025-12-31.csv,A366,OURICURI,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A366_H_2017-01-01_2025-12-31.csv,A366,OURICURI,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A366_H_2017-01-01_2025-12-31.csv,A366,OURICURI,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A366_H_2017-01-01_2025-12-31.csv,A366,OURICURI,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A366_H_2017-01-01_2025-12-31.csv,A366,OURICURI,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A370_H_2017-09-14_2025-12-31.csv,A370,SALGUEIRO,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A370_H_2017-09-14_2025-12-31.csv,A370,SALGUEIRO,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A370_H_2017-09-14_2025-12-31.csv,A370,SALGUEIRO,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A370_H_2017-09-14_2025-12-31.csv,A370,SALGUEIRO,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A370_H_2017-09-14_2025-12-31.csv,A370,SALGUEIRO,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
