cod_estacao,nome_estacao,tipo_estacao,ano,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms
82753,OURICURI,CONVENCIONAL,2017,100,100,100,100,100
82753,OURICURI,CONVENCIONAL,2018,100,100,100,100,100
82753,OURICURI,CONVENCIONAL,2019,98.1735159817352,98.1735159817352,98.1735159817352,98.1735159817352,98.1735159817352
82753,OURICURI,CONVENCIONAL,2020,98.2695810564663,98.2695810564663,98.2695810564663,98.2695810564663,98.2695810564663
82753,OURICURI,CONVENCIONAL,2021,96.2557077625571,96.1643835616438,96.0730593607306,96.0730593607306,96.1643835616438
82753,OURICURI,CONVENCIONAL,2022,76.2557077625571,75.7077625570776,75.9817351598174,76.0730593607306,75.5251141552512
82753,OURICURI,CONVENCIONAL,2023,67.8538812785388,67.4885844748858,67.6712328767123,67.4885844748858,67.1232876712329
82753,OURICURI,CONVENCIONAL,2024,70.2185792349727,69.9453551912568,70.2185792349727,70.0364298724955,69.8542805100182
82753,OURICURI,CONVENCIONAL,2025,49.2687385740402,49.1773308957952,49.2687385740402,49.2687385740402,49.2687385740402
82781,NAZARE DA MATA,CONVENCIONAL,2017,0,0,0,0,0
82781,NAZARE DA MATA,CONVENCIONAL,2018,0,0,0,0,0
82781,NAZARE DA MATA,CONVENCIONAL,2019,0,0,0,0,0
82781,NAZARE DA MATA,CONVENCIONAL,2020,0,0,0,0,0
82781,NAZARE DA MATA,CONVENCIONAL,2021,0,0,0,0,0
82781,NAZARE DA MATA,CONVENCIONAL,2022,0,0,0,0,0
82781,NAZARE DA MATA,CONVENCIONAL,2023,0,0,0,0,0
82781,NAZARE DA MATA,CONVENCIONAL,2024,0,0,0,0,0
82781,NAZARE DA MATA,CONVENCIONAL,2025,0,0,0,0,0
82789,TRIUNFO,CONVENCIONAL,2017,0,55.5251141552511,55.5251141552511,55.5251141552511,0
82789,TRIUNFO,CONVENCIONAL,2018,0,63.8461538461539,63.8461538461539,63.8461538461539,0
82797,SURUBIM,CONVENCIONAL,2017,94.6118721461187,94.6118721461187,94.6118721461187,94.6118721461187,94.6118721461187
82797,SURUBIM,CONVENCIONAL,2018,94.6118721461187,94.5205479452055,94.6118721461187,94.6118721461187,94.6118721461187
82797,SURUBIM,CONVENCIONAL,2019,94.1552511415525,94.1552511415525,94.1552511415525,94.1552511415525,94.1552511415525
82797,SURUBIM,CONVENCIONAL,2020,62.9326047358834,63.1147540983607,63.1147540983607,63.1147540983607,62.9326047358834
82797,SURUBIM,CONVENCIONAL,2021,29.1324200913242,29.1324200913242,28.9497716894977,29.041095890411,29.1324200913242
82797,SURUBIM,CONVENCIONAL,2022,5.47945205479452,92.4200913242009,93.3333333333333,93.1506849315068,5.57077625570776
82797,SURUBIM,CONVENCIONAL,2023,0.273972602739726,91.8721461187215,92.5114155251142,92.5114155251142,0.273972602739726
82797,SURUBIM,CONVENCIONAL,2024,0,89.1621129326047,89.6174863387978,89.5264116575592,0
82797,SURUBIM,CONVENCIONAL,2025,0.457038391224863,86.837294332724,86.745886654479,86.654478976234,0.457038391224863
82799,GOIANA,CONVENCIONAL,2017,0,0,0,0,0
