arquivo,cod_estacao,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,ano,variavel,coluna_detectada,n_registros,n_validos,n_ausentes,pct_validos,n_datas_com_registro,n_datas_com_valor,n_meses_com_valor,inicio_local,fim_local,minimo,p01,mediana,p99,maximo
dados_A350_H_2017-01-01_2025-12-31.csv,A350,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,Horaria,2022,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,0,8760,0,365,0,0,2022-01-01T03:00:00Z,2023-01-01T02:00:00Z,,,,,
dados_A350_H_2017-01-01_2025-12-31.csv,A350,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,Horaria,2022,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,0,8760,0,365,0,0,2022-01-01T03:00:00Z,2023-01-01T02:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2017,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1095,0,1095,0,365,0,0,2017-01-01T12:00:00Z,2018-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2017,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1095,0,1095,0,365,0,0,2017-01-01T12:00:00Z,2018-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2017,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1095,0,1095,0,365,0,0,2017-01-01T12:00:00Z,2018-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2017,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1095,0,1095,0,365,0,0,2017-01-01T12:00:00Z,2018-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2017,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1095,0,1095,0,365,0,0,2017-01-01T12:00:00Z,2018-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2018,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1095,0,1095,0,365,0,0,2018-01-01T12:00:00Z,2019-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2018,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1095,0,1095,0,365,0,0,2018-01-01T12:00:00Z,2019-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2018,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1095,0,1095,0,365,0,0,2018-01-01T12:00:00Z,2019-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2018,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1095,0,1095,0,365,0,0,2018-01-01T12:00:00Z,2019-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2018,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1095,0,1095,0,365,0,0,2018-01-01T12:00:00Z,2019-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2019,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1095,0,1095,0,365,0,0,2019-01-01T12:00:00Z,2020-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2019,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1095,0,1095,0,365,0,0,2019-01-01T12:00:00Z,2020-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2019,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1095,0,1095,0,365,0,0,2019-01-01T12:00:00Z,2020-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2019,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1095,0,1095,0,365,0,0,2019-01-01T12:00:00Z,2020-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2019,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1095,0,1095,0,365,0,0,2019-01-01T12:00:00Z,2020-01-01T00:00:00Z,,,,,
