"ano","cod_estacao","no_estacao","mes","n_dias_calendario","n_dias_validos_16h","n_dias_validos_18h","n_dias_validos_20h","n_dias_completos_24h","pct_dias_validos_16h","minimo_dias_mma","mes_representativo_mma","media_mensal_se_representativa"
2025,"12","IPOJUCA",12,31,29,29,29,27,93.5483870967742,21,TRUE,25.7735866174056
2025,"13","CUPE",1,31,28,28,28,25,90.3225806451613,21,TRUE,24.2737162840136
2025,"13","CUPE",2,28,24,24,23,23,85.7142857142857,19,TRUE,19.0789586988304
2025,"13","CUPE",3,31,9,8,8,6,29.0322580645161,21,FALSE,NA
2025,"13","CUPE",4,30,6,6,6,6,20,20,FALSE,NA
2025,"13","CUPE",5,31,0,0,0,0,0,21,FALSE,NA
2025,"13","CUPE",6,30,0,0,0,0,0,20,FALSE,NA
2025,"13","CUPE",7,31,0,0,0,0,0,21,FALSE,NA
2025,"13","CUPE",8,31,0,0,0,0,0,21,FALSE,NA
2025,"13","CUPE",9,30,0,0,0,0,0,20,FALSE,NA
2025,"13","CUPE",10,31,0,0,0,0,0,21,FALSE,NA
2025,"13","CUPE",11,30,0,0,0,0,0,20,FALSE,NA
2025,"13","CUPE",12,31,0,0,0,0,0,21,FALSE,NA
2025,"14","IFPE",1,31,9,9,9,7,29.0322580645161,21,FALSE,NA
2025,"14","IFPE",2,28,6,6,6,5,21.4285714285714,19,FALSE,NA
2025,"14","IFPE",3,31,1,1,1,1,3.2258064516129,21,FALSE,NA
2025,"14","IFPE",4,30,2,2,1,0,6.66666666666667,20,FALSE,NA
2025,"14","IFPE",5,31,1,1,1,1,3.2258064516129,21,FALSE,NA
2025,"14","IFPE",6,30,1,1,0,0,3.33333333333333,20,FALSE,NA
2025,"14","IFPE",7,31,1,1,1,0,3.2258064516129,21,FALSE,NA
2025,"14","IFPE",8,31,1,1,1,0,3.2258064516129,21,FALSE,NA
2025,"14","IFPE",9,30,5,5,4,3,16.6666666666667,20,FALSE,NA
2025,"14","IFPE",10,31,10,8,7,4,32.258064516129,21,FALSE,NA
2025,"14","IFPE",11,30,0,0,0,0,0,20,FALSE,NA
2025,"14","IFPE",12,31,6,5,5,3,19.3548387096774,21,FALSE,NA
2025,"15","CPRH",1,31,21,19,19,16,67.741935483871,21,TRUE,43.6518357934083
2025,"15","CPRH",2,28,18,18,18,17,64.2857142857143,19,FALSE,NA
2025,"15","CPRH",3,31,0,0,0,0,0,21,FALSE,NA
2025,"15","CPRH",4,30,0,0,0,0,0,20,FALSE,NA
2025,"15","CPRH",5,31,0,0,0,0,0,21,FALSE,NA
2025,"15","CPRH",6,30,0,0,0,0,0,20,FALSE,NA
2025,"15","CPRH",7,31,0,0,0,0,0,21,FALSE,NA
2025,"15","CPRH",8,31,0,0,0,0,0,21,FALSE,NA
2025,"15","CPRH",9,30,0,0,0,0,0,20,FALSE,NA
2025,"15","CPRH",10,31,0,0,0,0,0,21,FALSE,NA
2025,"15","CPRH",11,30,0,0,0,0,0,20,FALSE,NA
2025,"15","CPRH",12,31,0,0,0,0,0,21,FALSE,NA
