indicador,valor
n_alvos_com_base_horaria,5
n_alvos_pendentes,1
n_series_principais,5
n_series_sensibilidade,5
n_linhas_base_pareada,85188
n_estacoes_inmet_distintas,4
n_auditorias_9k_ok,10
n_series_hibridas,0
n_valores_imputados,0
