estacao_historica,ano_alvo,papel_serie,cod_estacao,nome_estacao_pareada,distancia_km,status_pareamento,justificativa
IFPE,2018,principal,A301,RECIFE,37.320922014816,fechado,A301 e a automatica INMET mais proxima entre as candidatas avaliadas e apresenta elevada completude efetiva em 2018.
IFPE,2018,sensibilidade,A328,SURUBIM,102.042384103705,fechado,A301 e a automatica INMET mais proxima entre as candidatas avaliadas e apresenta elevada completude efetiva em 2018.
Gaibu,2019,principal,A301,RECIFE,30.0048785608036,fechado_com_limitacao_vento,"A301 e a automatica INMET mais proxima; temperatura, umidade e pressao apresentam cobertura quase integral, enquanto vento possui cobertura reduzida e deve ser interpretado com cautela."
Gaibu,2019,sensibilidade,A328,SURUBIM,106.563969820775,fechado_com_limitacao_vento,"A301 e a automatica INMET mais proxima; temperatura, umidade e pressao apresentam cobertura quase integral, enquanto vento possui cobertura reduzida e deve ser interpretado com cautela."
CUPE,2021,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,A301 e espacialmente mais proxima e apresenta melhor equilibrio entre distancia e disponibilidade que as alternativas regionais; a serie termina em novembro de 2021 e essa perda temporal deve ser explicitada.
CUPE,2021,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,A301 e espacialmente mais proxima e apresenta melhor equilibrio entre distancia e disponibilidade que as alternativas regionais; a serie termina em novembro de 2021 e essa perda temporal deve ser explicitada.
IPOJUCA,2021,principal,A301,RECIFE,43.1702325218827,fechado_com_limitacao_temporal_2021,A301 e espacialmente mais proxima e apresenta melhor equilibrio entre distancia e disponibilidade que as alternativas regionais; a serie termina em novembro de 2021 e essa perda temporal deve ser explicitada.
IPOJUCA,2021,sensibilidade,A357,PALMARES,65.7758532771756,fechado_com_limitacao_temporal_2021,A301 e espacialmente mais proxima e apresenta melhor equilibrio entre distancia e disponibilidade que as alternativas regionais; a serie termina em novembro de 2021 e essa perda temporal deve ser explicitada.
IPOJUCA,2025,principal,A357,PALMARES,65.7758532771756,fechado_com_limitacao_espacial,A357 e a automatica INMET mais proxima disponivel em 2025; a distancia e elevada e a umidade relativa possui menor completude que as demais variaveis.
IPOJUCA,2025,sensibilidade,A341,CARUARU,111.998823291037,fechado_com_limitacao_espacial,A357 e a automatica INMET mais proxima disponivel em 2025; a distancia e elevada e a umidade relativa possui menor completude que as demais variaveis.
