indicador,valor
n_alvos_mp10_com_coordenada,5
n_estacoes_automaticas_avaliadas,13
n_estacoes_convencionais_avaliadas,12
n_linhas_triagem_automaticas,64
n_linhas_triagem_convencionais,52
n_linhas_auto_com_4_variaveis_nucleares,61
n_alvos_com_auto_nuclear_disponivel,5
n_alvos_sem_auto_nuclear_disponivel,0
suape_2022_pareamento_espacial,0
