estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A357,2019,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,63.8698630136986,59.4063926940639,75.6050228310502,72.865296803653,63.8584474885845,240,226,285,281,240,77.0464339824991,>75-100 km,4,TRUE,63.8584474885845,69.0496575342466,TRUE,50-<75%,2,12
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A328,2019,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,365,365,365,365,365,106.563969820775,>100-150 km,4,TRUE,99.9885844748859,99.9885844748859,TRUE,>=90%,3,4
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A341,2019,CARUARU,AUTOMATICA,-8.35611111,-36.02833332,837,Horaria,100,100,100,98.6986301369863,100,365,365,365,365,365,117.982560050892,>100-150 km,4,TRUE,98.6986301369863,99.6746575342466,TRUE,>=90%,4,5
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A322,2019,GARANHUNS,AUTOMATICA,-8.91083333,-36.49333333,827.78,Horaria,100,100,100,87.716894977169,100,365,365,365,362,365,180.941891079685,>150 km,4,TRUE,87.716894977169,96.9292237442922,TRUE,75-<90%,5,7
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A309,2019,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,100,100,100,100,100,365,365,365,365,365,231.227003270326,>150 km,4,TRUE,100,100,TRUE,>=90%,6,1
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A349,2019,IBIMIRIM,AUTOMATICA,-8.50944444,-37.71166666,434.23,Horaria,85.5251141552512,85.513698630137,85.5251141552512,85.5251141552512,85.5251141552512,337,337,337,337,337,303.744751141829,>150 km,4,TRUE,85.5251141552512,85.5251141552512,TRUE,75-<90%,7,8
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A350,2019,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,Horaria,100,100,100,100,100,365,365,365,365,365,369.859984105299,>150 km,4,TRUE,100,100,TRUE,>=90%,8,1
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A351,2019,FLORESTA,AUTOMATICA,-8.59888888,-38.58416666,327.42,Horaria,91.2100456621005,91.2100456621005,91.2100456621005,91.2100456621005,91.2100456621005,334,334,334,334,334,400.133189926354,>150 km,4,TRUE,91.2100456621005,91.2100456621005,TRUE,>=90%,9,6
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A370,2019,SALGUEIRO,AUTOMATICA,-8.05805555,-39.0961111,447,Horaria,84.9885844748859,84.9885844748859,84.9885844748859,84.9885844748859,84.9885844748859,314,314,314,314,314,456.62084941466,>150 km,4,TRUE,84.9885844748859,84.9885844748859,TRUE,75-<90%,10,9
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A329,2019,CABROBO,AUTOMATICA,-8.50388888,-39.31527777,342.74,Horaria,85.4794520547945,85.4908675799087,85.4908675799087,84.4977168949772,85.4794520547945,360,361,361,361,360,479.869055365821,>150 km,4,TRUE,84.4977168949772,85.2368721461187,TRUE,75-<90%,11,10
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A366,2019,OURICURI,AUTOMATICA,-7.88583333,-40.10277777,457.85,Horaria,81.8264840182648,80.5479452054795,81.9520547945206,81.9520547945206,81.8264840182648,365,360,365,365,365,568.67780010573,>150 km,4,TRUE,81.8264840182648,81.8892694063927,TRUE,75-<90%,12,11
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A307,2019,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,100,100,100,100,100,365,365,365,365,365,622.867711420853,>150 km,4,TRUE,100,100,TRUE,>=90%,13,1
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A301,2018,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,94.634703196347,94.6575342465753,94.6575342465753,94.6575342465753,94.634703196347,351,351,351,351,351,37.320922014816,>25-50 km,4,TRUE,94.634703196347,94.6461187214611,TRUE,>=90%,1,5
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A357,2018,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,70.9589041095891,82.2146118721461,82.2146118721461,82.1461187214612,70.9589041095891,263,307,307,307,263,65.777050445657,>50-75 km,4,TRUE,70.9589041095891,76.5696347031964,TRUE,50-<75%,2,13
