estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,82893,2019,GARANHUNS,CONVENCIONAL,-8.91083333,-36.49333333,827.78,Horaria,51.4155251141553,51.5068493150685,51.5068493150685,51.5068493150685,51.4155251141553,282,282,282,282,282,180.941891079685,>150 km,4,TRUE,51.4155251141553,51.4611872146119,TRUE,50-<75%,7,7
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,82890,2019,ARCO VERDE,CONVENCIONAL,-8.4336111,-37.05527777,683.91,Horaria,91.0502283105023,91.0502283105023,91.0502283105023,91.0502283105023,91.0502283105023,365,365,365,365,365,231.196484200032,>150 km,4,TRUE,91.0502283105023,91.0502283105023,TRUE,>=90%,8,5
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,82886,2019,CABROBO,CONVENCIONAL,-8.50388888,-39.31527777,342.78,Horaria,63.013698630137,63.013698630137,63.013698630137,63.013698630137,63.013698630137,345,345,345,345,345,479.869055365821,>150 km,4,TRUE,63.013698630137,63.013698630137,TRUE,50-<75%,9,6
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,82753,2019,OURICURI,CONVENCIONAL,-7.87944443,-40.09194444,462.01,Horaria,98.1735159817352,98.1735159817352,98.1735159817352,98.1735159817352,98.1735159817352,365,365,365,365,365,567.556309229906,>150 km,4,TRUE,98.1735159817352,98.1735159817352,TRUE,>=90%,10,2
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,82983,2019,PETROLINA,CONVENCIONAL,-9.3886111,-40.52333332,372.54,Horaria,93.6986301369863,93.6986301369863,93.6986301369863,93.6986301369863,93.6986301369863,362,362,362,362,362,622.873321376991,>150 km,4,TRUE,93.6986301369863,93.6986301369863,TRUE,>=90%,11,4
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82897,2018,TAPACURA,CONVENCIONAL,-8.17,-35.18,102,Horaria,0,0,0,0,0,0,0,0,0,0,28.2628664721421,>25-50 km,0,FALSE,0,0,FALSE,incompleta,1,8
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82900,2018,RECIFE (CURADO),CONVENCIONAL,-8.05916666,-34.95916666,11.3,Horaria,99.4520547945206,99.4520547945206,99.4520547945206,99.4520547945206,99.4520547945206,365,365,365,365,365,37.320922014816,>25-50 km,4,TRUE,99.4520547945206,99.4520547945206,TRUE,>=90%,2,2
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82898,2018,OLINDA,CONVENCIONAL,-8.02,-34.85,55,Horaria,0,0,0,0,0,0,0,0,0,0,45.7295046487777,>25-50 km,0,FALSE,0,0,FALSE,incompleta,3,8
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82781,2018,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,0,0,0,0,0,0,0,0,0,0,76.2915024371095,>75-100 km,0,FALSE,0,0,FALSE,incompleta,4,8
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82799,2018,GOIANA,CONVENCIONAL,-7.55,-34.98,11,Horaria,0,0,0,0,0,0,0,0,0,0,93.052215835875,>75-100 km,0,FALSE,0,0,FALSE,incompleta,5,8
