indicador,valor
n_linhas_entrada,20712379
n_duplicatas_exatas_removidas,162129
n_linhas_apos_dedup,20550250
n_grupos_timestamp_conflitantes,8
n_linhas_conflitantes,16
n_valores_ausentes,374332
n_valores_negativos,0
n_valores_validos,20175902
n_estacao_ano,2959
n_cadencia_alta,621
n_cadencia_media,43
n_cadencia_baixa,2237
n_cadencia_nao_inferida,58
n_cadencia_inconsistente,2263
n_candidatos_unicos_ate50km_anos_alvo,434
n_candidatos_com_valor_no_ano,325
n_alvos_mp10_com_sobreposicao,4
