fonte_dados,cod_estacao,ano,n_antes,n_duplicatas_exatas_removiveis,n_depois,n_arquivos
CEMADEN,260570702A,2025,9800,736,9064,13
CEMADEN,260580601A,2025,9404,645,8759,13
CEMADEN,260580601C,2017,12081,1,12080,9
CEMADEN,260590501A,2017,12982,1,12981,13
CEMADEN,260590501A,2025,11136,766,10370,13
CEMADEN,260590518H,2025,11888,823,11065,13
CEMADEN,260600201C,2017,11896,1,11895,9
CEMADEN,260600202A,2025,3925,763,3162,5
CEMADEN,260600203A,2025,3953,768,3185,5
CEMADEN,260600204A,2025,3872,766,3106,5
CEMADEN,260620001A,2017,14079,14,14065,13
CEMADEN,260620001A,2025,11578,841,10737,13
CEMADEN,260620002A,2017,12905,1,12904,13
CEMADEN,260620003H,2017,10676,1,10675,10
CEMADEN,260620003H,2025,2994,148,2846,9
CEMADEN,260630901A,2025,6622,52,6570,13
CEMADEN,260640801A,2025,4218,868,3350,6
CEMADEN,260640802A,2025,3652,730,2922,6
CEMADEN,260640803A,2025,3491,756,2735,5
CEMADEN,260650701A,2025,10857,750,10107,13
CEMADEN,260660601A,2017,10106,24,10082,13
CEMADEN,260660601A,2025,6861,748,6113,13
CEMADEN,260670501A,2025,6945,53,6892,13
CEMADEN,260680403A,2017,12734,1,12733,13
CEMADEN,260680403A,2025,11856,874,10982,13
CEMADEN,260680404A,2017,14878,1,14877,13
CEMADEN,260680404A,2025,10512,857,9655,13
CEMADEN,260680405A,2017,12970,1,12969,13
CEMADEN,260680405A,2025,6636,837,5799,10
CEMADEN,260690301A,2025,9844,741,9103,13
CEMADEN,260700001A,2025,9637,733,8904,13
CEMADEN,260710901A,2025,10056,744,9312,13
CEMADEN,260720801A,2017,13786,1,13785,13
CEMADEN,260720801A,2025,11009,816,10193,13
CEMADEN,260720801G,2025,11539,790,10749,13
CEMADEN,260720802A,2017,13973,1,13972,13
CEMADEN,260720803A,2017,12758,1,12757,13
CEMADEN,260720804A,2017,13127,1,13126,13
CEMADEN,260720804A,2025,11284,741,10543,13
CEMADEN,260720805A,2025,11099,782,10317,13
CEMADEN,260730701A,2017,4870,1,4869,8
CEMADEN,260730702A,2017,10069,1,10068,13
CEMADEN,260730702A,2025,10080,766,9314,13
CEMADEN,260730703A,2025,8229,788,7441,12
CEMADEN,260740601A,2025,9898,746,9152,13
CEMADEN,260740601C,2025,9470,745,8725,13
CEMADEN,260750501A,2025,10255,655,9600,13
CEMADEN,260760401A,2025,12419,771,11648,13
CEMADEN,260765301A,2025,8546,98,8448,11
CEMADEN,260770301A,2025,9840,734,9106,13
CEMADEN,260790101A,2025,11943,814,11129,13
CEMADEN,260790102A,2017,14378,1,14377,13
CEMADEN,260790103A,2017,15064,1,15063,13
CEMADEN,260790104A,2017,13494,1,13493,13
CEMADEN,260790104A,2025,1007,173,834,7
CEMADEN,260790104G,2025,4198,122,4076,13
CEMADEN,260790106A,2025,11334,789,10545,13
CEMADEN,260790107A,2017,15218,1,15217,13
CEMADEN,260790108A,2017,14052,1,14051,13
CEMADEN,260790109A,2017,12628,1,12627,13
CEMADEN,260790110A,2017,13173,1,13172,13
CEMADEN,260790115H,2025,12809,853,11956,13
CEMADEN,260790119H,2025,11713,855,10858,13
CEMADEN,260795001A,2017,13475,1,13474,13
CEMADEN,260795001A,2025,10961,655,10306,13
CEMADEN,260795004H,2017,12935,1,12934,13
CEMADEN,260800801A,2025,9989,752,9237,13
CEMADEN,260800801C,2017,6320,1,6319,11
CEMADEN,260800801C,2025,4057,747,3310,7
CEMADEN,260805701A,2025,6139,20,6119,13
CEMADEN,260805701C,2017,8674,1,8673,11
CEMADEN,260810701A,2025,10758,784,9974,13
CEMADEN,260820602A,2025,10353,763,9590,13
CEMADEN,260820603A,2025,4099,824,3275,6
CEMADEN,260825501A,2025,6536,531,6005,13
CEMADEN,260830501A,2025,9100,739,8361,13
CEMADEN,260840401A,2017,14230,1,14229,13
CEMADEN,260840401A,2025,9336,767,8569,13
CEMADEN,260840401C,2017,14212,1,14211,11
CEMADEN,260860201A,2025,11280,799,10481,13
CEMADEN,260870101A,2025,11332,797,10535,13
CEMADEN,260870102A,2025,3141,755,2386,5
CEMADEN,260870103A,2025,3502,782,2720,5
CEMADEN,260875001A,2017,3878,1,3877,8
CEMADEN,260875001A,2025,9642,742,8900,13
CEMADEN,260875001U,2025,9196,750,8446,13
CEMADEN,260875002A,2025,5508,376,5132,13
CEMADEN,260880001A,2017,13402,1,13401,13
CEMADEN,260880001A,2025,4245,39,4206,13
CEMADEN,260890901A,2025,10844,771,10073,13
CEMADEN,260910501A,2025,9271,600,8671,13
CEMADEN,260915401A,2025,11409,746,10663,13
CEMADEN,260915401C,2017,8377,1,8376,9
