fonte_dados,cod_estacao,ano,n,minimo,p50,p95,p99,p999,maximo
CEMADEN,260070801A,2018,9338,0,0,0.42,2.36,6.51326000000001,15.57
CEMADEN,260070801A,2019,8984,0,0,0.79,2.56,8.96019999999989,18.93
CEMADEN,260070801A,2020,8354,0,0,0.59,2.16,6.2817300000005,11.8
CEMADEN,260070801A,2021,2670,0,0,0.59,1.43889999999999,4.06909000000005,5.71
CEMADEN,260070801A,2022,5307,0,0,1.37,3.94,10.0558000000003,17.69
CEMADEN,260070801A,2023,9828,0,0,0.59,2.75,6.73460000000014,13.02
CEMADEN,260070801A,2024,8962,0,0,0.42,2.16,6.10780000000013,9.36
CEMADEN,260070801A,2025,8022,0,0,0.98,3.3479,7.70664000000004,10.57
CEMADEN,260080701A,2017,12777,0,0,0.2,1.2,3.64480000000003,7.8
CEMADEN,260080701A,2018,9629,0,0,0.2,1.4,6.54879999999976,17.2
CEMADEN,260080701A,2019,9435,0,0,0.4,1,4.51320000000014,9.4
CEMADEN,260080701A,2020,9726,0,0,0.4,1.6,6.65499999999993,11.6
CEMADEN,260080701A,2021,7618,0,0,0.4,1,2.8,6.4
CEMADEN,260080701A,2022,3001,0,0,0.6,1.6,6.4,20
CEMADEN,260080701A,2023,8796,0,0,0.4,1.40999999999985,4.32299999999996,15.6
CEMADEN,260080701A,2024,9230,0,0,0.4,1.4,8.10840000000026,21.2
CEMADEN,260080701A,2025,6206,0,0,0.4,1.4,6.4,10.6
CEMADEN,260080701C,2018,2581,0,0,0,0.2,3.12400000000016,4.6
CEMADEN,260080701C,2019,7636,0,0,0.4,1,4.09199999999982,7.4
CEMADEN,260080701C,2020,8568,0,0,0.4,1.6,8.94639999999927,16.2
CEMADEN,260080701C,2021,961,0,0,0,0.8,4.04799999999996,5.2
CEMADEN,260080701C,2022,3968,0,0,0.6,1.4,3.81979999999994,8.2
CEMADEN,260080702A,2017,298,0,0,0.445499999999996,1.39169999999999,2.16,2.16
CEMADEN,260080702A,2018,9507,0,0,0.39,1.37,5.72976000000002,14.51
