fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_intervalos_modais,n_dias_com_valor,moda_n_validas,p50_n_validas,p90_n_validas,p95_n_validas,max_n_validas,n_esperado_intervalo,erro_fechamento_min,intervalo_fecha_dia,n_esperado_dia,razao_p95_esperado,cadencia_inconsistente,confianca_cadencia
CEMADEN,260020301A,2019,ARIZONA - APAC,PLUVIOMETRICA_AUTOMATICA,,10,158,62,1,4,12.9,22.7,34,144,0,TRUE,144,0.157638888888889,TRUE,BAIXA
CEMADEN,260020301U,2017,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,390,29,11,12,24.4,26,27,24,0,TRUE,24,1.08333333333333,FALSE,MEDIA
CEMADEN,260020301U,2018,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,2194,171,24,14,24,24,25,24,0,TRUE,24,1,FALSE,ALTA
CEMADEN,260020301U,2019,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,653,29,24,24,24.2,25,27,24,0,TRUE,24,1.04166666666667,FALSE,MEDIA
CEMADEN,260020301U,2022,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,1770,77,24,24,28,29.6,42,24,0,TRUE,24,1.23333333333333,FALSE,ALTA
CEMADEN,260020302A,2024,Afrânio [Centro] - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3557,157,24,24,24.4,27,41,24,0,TRUE,24,1.125,FALSE,ALTA
CEMADEN,260020302A,2025,Afrânio [Centro] - APAC,PLUVIOMETRICA_AUTOMATICA,,60,8353,364,24,24,25,28.85,51,24,0,TRUE,24,1.20208333333333,FALSE,ALTA
CEMADEN,260030201A,2019,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3796,209,24,25,50.2,65,134,24,0,TRUE,24,2.70833333333333,TRUE,BAIXA
CEMADEN,260030201A,2020,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,4081,201,24,26,38,46,73,24,0,TRUE,24,1.91666666666667,TRUE,BAIXA
CEMADEN,260030201A,2021,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3244,151,24,24,33,38.5,63,24,0,TRUE,24,1.60416666666667,TRUE,BAIXA
CEMADEN,260030201A,2022,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7567,365,24,25,41.6,48,93,24,0,TRUE,24,2,TRUE,BAIXA
CEMADEN,260030201A,2023,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7703,365,24,25,37.6,44.8,88,24,0,TRUE,24,1.86666666666667,TRUE,BAIXA
CEMADEN,260030201A,2024,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,6520,336,24,24,32,40.25,101,24,0,TRUE,24,1.67708333333333,TRUE,BAIXA
CEMADEN,260030201A,2025,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,5404,303,24,24,38.8,48,70,24,0,TRUE,24,2,TRUE,BAIXA
CEMADEN,260040101A,2017,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,7162,362,24,28,74,92.9,139,24,0,TRUE,24,3.87083333333333,TRUE,BAIXA
CEMADEN,260040101A,2018,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,7475,355,24,25,37,42,88,24,0,TRUE,24,1.75,TRUE,BAIXA
CEMADEN,260040101A,2019,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,3078,206,24,24,34,45.5,91,24,0,TRUE,24,1.89583333333333,TRUE,BAIXA
CEMADEN,260040101A,2020,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,4161,259,24,24,35,43.1,86,24,0,TRUE,24,1.79583333333333,TRUE,BAIXA
CEMADEN,260040101A,2021,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,7411,362,24,25,43,49,93,24,0,TRUE,24,2.04166666666667,TRUE,BAIXA
CEMADEN,260040101A,2022,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,6619,362,24,26,44,56.95,110,24,0,TRUE,24,2.37291666666667,TRUE,BAIXA
CEMADEN,260040101A,2023,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,6791,356,24,24,36.5,44.25,79,24,0,TRUE,24,1.84375,TRUE,BAIXA
CEMADEN,260040101A,2024,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,7769,366,24,25,37,43.75,72,24,0,TRUE,24,1.82291666666667,TRUE,BAIXA
CEMADEN,260040101A,2025,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,4234,362,24,11.5,33.9,45.95,90,24,0,TRUE,24,1.91458333333333,TRUE,BAIXA
CEMADEN,260040102A,2017,AGUA PRETA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,852,42,24,23.5,26.8,30.9,49,24,0,TRUE,24,1.2875,TRUE,BAIXA
CEMADEN,260040102A,2018,AGUA PRETA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7727,365,24,25,37.6,43.8,91,24,0,TRUE,24,1.825,TRUE,BAIXA
CEMADEN,260040102A,2019,AGUA PRETA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,2653,212,24,24,37,43.45,85,24,0,TRUE,24,1.81041666666667,TRUE,BAIXA
CEMADEN,260040102A,2022,AGUA PRETA - APAC,PLUVIOMETRICA_AUTOMATICA,,,,1,1,1,1,1,1,,,FALSE,1,1,FALSE,BAIXA
CEMADEN,260050001A,2017,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,3943,207,24,24,28.4,37,144,24,0,TRUE,24,1.54166666666667,TRUE,BAIXA
CEMADEN,260050001A,2018,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,6805,361,24,24,27,31,54,24,0,TRUE,24,1.29166666666667,TRUE,BAIXA
CEMADEN,260050001A,2019,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,5583,328,24,24,28,36,83,24,0,TRUE,24,1.5,TRUE,BAIXA
CEMADEN,260050001A,2021,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,6485,297,24,24,36,42.2,65,24,0,TRUE,24,1.75833333333333,TRUE,BAIXA
CEMADEN,260050001A,2022,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,4005,206,24,24,37,42.75,98,24,0,TRUE,24,1.78125,TRUE,BAIXA
