fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_calendario,n_dias_algum_valor,n_dias_75,n_dias_80,n_dias_90,n_dias_100,prop_algum_valor,prop_75,prop_80,prop_90,prop_100,maior_lacuna_sem_90,n_dias_acima_esperado,n_meses_algum_valor,n_meses_80pct_dias_90
CEMADEN,260010401A,2021,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,265,237,235,233,228,0.726027397260274,0.649315068493151,0.643835616438356,0.638356164383562,0.624657534246575,127,134,12,7
CEMADEN,260010401A,2022,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,365,359,357,355,333,1,0.983561643835616,0.978082191780822,0.972602739726027,0.912328767123288,2,0,12,12
CEMADEN,260010401A,2023,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,365,361,360,359,353,1,0.989041095890411,0.986301369863014,0.983561643835616,0.967123287671233,2,10,12,12
CEMADEN,260010401A,2024,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,351,340,338,337,331,0.959016393442623,0.92896174863388,0.923497267759563,0.920765027322404,0.904371584699454,13,73,12,10
CEMADEN,260010401A,2025,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,177,159,158,155,148,0.484931506849315,0.435616438356164,0.432876712328767,0.424657534246575,0.405479452054795,129,29,8,3
CEMADEN,260020301A,2018,ARIZONA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,118,2,1,1,1,0.323287671232877,0.00547945205479452,0.00273972602739726,0.00273972602739726,0.00273972602739726,337,1,9,0
CEMADEN,260020301A,2019,ARIZONA - APAC,PLUVIOMETRICA_AUTOMATICA,,10,144,BAIXA,TRUE,365,62,0,0,0,0,0.16986301369863,0,0,0,0,365,0,6,0
CEMADEN,260020301U,2017,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,24,MEDIA,FALSE,365,29,10,9,9,7,0.0794520547945206,0.0273972602739726,0.0246575342465753,0.0246575342465753,0.0191780821917808,247,3,3,0
CEMADEN,260020301U,2018,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,171,62,62,61,61,0.468493150684932,0.16986301369863,0.16986301369863,0.167123287671233,0.167123287671233,164,0,10,1
CEMADEN,260020301U,2019,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,24,MEDIA,FALSE,365,29,27,27,27,27,0.0794520547945206,0.073972602739726,0.073972602739726,0.073972602739726,0.073972602739726,206,1,2,0
