fonte_dados,cod_estacao,nome_estacao,ano,mes,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_calendario,n_dias_algum_valor,n_dias_75,n_dias_80,n_dias_90,n_dias_100,prop_algum_valor,prop_75,prop_80,prop_90,prop_100,n_dias_acima_esperado,mes_80pct_dias_90
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,5,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,20,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,6,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,25,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,7,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,23,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,8,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,21,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,9,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,14,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,10,24,BAIXA,TRUE,31,31,30,29,29,28,1,0.967741935483871,0.935483870967742,0.935483870967742,0.903225806451613,7,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,11,24,BAIXA,TRUE,30,30,30,30,29,28,1,1,1,0.966666666666667,0.933333333333333,12,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,12,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,14,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,1,24,BAIXA,TRUE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,9,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,2,24,BAIXA,TRUE,28,28,28,28,28,27,1,1,1,1,0.964285714285714,7,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,3,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,16,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,4,24,BAIXA,TRUE,30,30,27,26,24,21,1,0.9,0.866666666666667,0.8,0.7,16,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,5,24,BAIXA,TRUE,31,31,31,31,31,29,1,1,1,1,0.935483870967742,20,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,6,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,22,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,7,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,25,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,8,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,28,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,9,24,BAIXA,TRUE,30,30,30,30,30,27,1,1,1,1,0.9,15,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,10,24,BAIXA,TRUE,31,31,28,28,28,25,1,0.903225806451613,0.903225806451613,0.903225806451613,0.806451612903226,8,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,11,24,BAIXA,TRUE,30,30,30,30,30,29,1,1,1,1,0.966666666666667,7,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2021,12,24,BAIXA,TRUE,31,31,31,31,30,27,1,1,1,0.967741935483871,0.870967741935484,12,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,1,24,BAIXA,TRUE,31,31,31,31,30,27,1,1,1,0.967741935483871,0.870967741935484,18,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,2,24,BAIXA,TRUE,28,28,28,28,27,19,1,1,1,0.964285714285714,0.678571428571429,8,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,3,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,21,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,4,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,17,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,5,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,26,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,6,24,BAIXA,TRUE,30,30,29,29,29,29,1,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,21,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,7,24,BAIXA,TRUE,31,31,30,30,30,30,1,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,27,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,8,24,BAIXA,TRUE,31,31,30,30,30,29,1,0.967741935483871,0.967741935483871,0.967741935483871,0.935483870967742,20,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,9,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,11,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,10,24,BAIXA,TRUE,31,31,29,28,28,26,1,0.935483870967742,0.903225806451613,0.903225806451613,0.838709677419355,8,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,11,24,BAIXA,TRUE,30,30,29,28,27,27,1,0.966666666666667,0.933333333333333,0.9,0.9,15,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2022,12,24,BAIXA,TRUE,31,31,31,31,29,26,1,1,1,0.935483870967742,0.838709677419355,11,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,1,24,BAIXA,TRUE,31,31,31,31,31,29,1,1,1,1,0.935483870967742,11,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,2,24,BAIXA,TRUE,28,28,28,28,28,28,1,1,1,1,1,11,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,3,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,14,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,4,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,19,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,5,24,BAIXA,TRUE,31,31,31,31,31,28,1,1,1,1,0.903225806451613,19,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,6,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,27,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,7,24,BAIXA,TRUE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,21,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,8,24,BAIXA,TRUE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,20,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,9,24,BAIXA,TRUE,30,30,30,30,30,29,1,1,1,1,0.966666666666667,17,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,10,24,BAIXA,TRUE,31,31,31,30,30,29,1,1,0.967741935483871,0.967741935483871,0.935483870967742,11,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,11,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,8,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2023,12,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,15,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,1,24,BAIXA,TRUE,31,29,28,28,28,28,0.935483870967742,0.903225806451613,0.903225806451613,0.903225806451613,0.903225806451613,15,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,2,24,BAIXA,TRUE,29,29,26,26,26,25,1,0.896551724137931,0.896551724137931,0.896551724137931,0.862068965517241,16,TRUE
