fonte_dados,cod_estacao,nome_estacao,ano,datahora_local,precipitacao_mm,arquivo_origem
CEMADEN,260345404A,Jardim Primavera,2024,2024-04-21T09:10:00Z,180.01,data(93).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T15:40:00Z,176.65,data(104).csv
CEMADEN,260750501A,ITAIBA - APAC,2022,2022-09-11T04:00:00Z,172.25,data(74).csv
CEMADEN,261520101A,GUARANI - APAC,2020,2020-02-17T19:50:00Z,165.74,data(43).csv
CEMADEN,260700001A,Inajá [Estádio Municipal] - APAC,2024,2024-01-30T12:30:00Z,164.48,data(90).csv
CEMADEN,260875001A,Jutaí,2021,2021-03-12T17:10:00Z,163.85,data(56).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-29T17:10:00Z,161.55,data(81).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-05-06T18:20:00Z,159.03,data(82).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-20T18:20:00Z,148.54,data(81).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-24T18:00:00Z,146.23,data(81).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-29T17:00:00Z,143.5,data(81).csv
CEMADEN,260345401A,Timbi,2017,2017-05-10T00:30:00Z,142.87,data(10).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-05-01T18:00:00Z,139.1,data(82).csv
INMET,82886,CABROBO,2022,2022-11-04T12:00:00Z,134.4,dados_82886_H_2017-01-01_2025-07-01.csv
CEMADEN,260765302A,CARICÉ - APAC,2024,2024-03-12T14:10:00Z,124.2,data(92).csv
CEMADEN,260150802A,Batateiras,2017,2017-05-24T11:40:00Z,123.99,data(10).csv
CEMADEN,260540001A,FEIRA NOVA - APAC,2025,2025-05-22T02:40:00Z,123.36,data(106).csv
CEMADEN,260345403A,Bairro dos Estados,2022,2022-03-03T09:00:00Z,121.68,data(68).csv
CEMADEN,260440301A,CHA DE ALEGRIA - APAC,2024,2024-04-21T14:00:00Z,121.68,data(93).csv
INMET,82753,OURICURI,2020,2020-02-06T12:00:00Z,121.4,dados_82753_H_2017-01-01_2025-12-31.csv
CEMADEN,260230802A,BONITO 2 - APAC,2023,2023-08-01T12:30:00Z,120.22,data(85).csv
CEMADEN,261580501A,TUPANATINGA - APAC,2024,2024-05-15T12:50:00Z,120.01,data(94).csv
CEMADEN,260540001A,FEIRA NOVA - APAC,2024,2024-01-02T10:10:00Z,117.91,data(90).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-23T15:30:00Z,116.44,data(97).csv
CEMADEN,261160607A,Alto do Céu,2023,2023-09-01T11:40:00Z,113.92,data(86).csv
CEMADEN,260090601A,AMARAJI - APAC,2024,2024-02-27T17:10:00Z,113.71,data(91).csv
CEMADEN,261050901A,PASSIRA  - APAC,2024,2024-04-17T04:20:00Z,110.35,data(93).csv
INMET,82900,RECIFE (CURADO),2019,2019-06-13T18:00:00Z,107.7,dados_82900_H_2017-01-01_2020-08-31.csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-24T11:30:00Z,106.37,data(81).csv
INMET,82886,CABROBO,2022,2022-11-30T00:00:00Z,106.2,dados_82886_H_2017-01-01_2025-07-01.csv
CEMADEN,260960004A,Jardim Fragoso,2021,2021-03-03T11:40:00Z,105.95,data(56).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-27T18:00:00Z,102.8,data(81).csv
