"id_linha_v1","ano","cod_estacao","no_estacao","dh_medicao","dh_arredondado","nu_concentracao","st_situacao","cd_flag","ds_flag","no_fonte_dados","regra_validade"
145327,2024,"13","CUPE","2024-09-30 12:00:00.000",2024-09-30 12:00:00,-14.659,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145328,2024,"13","CUPE","2024-09-30 13:00:00.000",2024-09-30 13:00:00,-9.447,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145329,2024,"13","CUPE","2024-10-01 04:00:00.000",2024-10-01 04:00:00,-7.583,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145330,2024,"13","CUPE","2024-10-01 11:00:00.000",2024-10-01 11:00:00,-0.949,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145331,2024,"13","CUPE","2024-10-07 13:00:00.000",2024-10-07 13:00:00,-2.787,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145332,2024,"13","CUPE","2024-10-07 14:00:00.000",2024-10-07 14:00:00,-0.303,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145333,2024,"13","CUPE","2024-10-07 16:00:00.000",2024-10-07 16:00:00,-4.662,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145334,2024,"13","CUPE","2024-10-11 16:00:00.000",2024-10-11 16:00:00,-6.15,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145335,2024,"13","CUPE","2024-10-11 17:00:00.000",2024-10-11 17:00:00,-9.432,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145336,2024,"13","CUPE","2024-10-27 10:00:00.000",2024-10-27 10:00:00,-6.38,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
145337,2024,"13","CUPE","2024-10-27 11:00:00.000",2024-10-27 11:00:00,-3.915,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
150621,2024,"13","CUPE","2024-12-01 18:00:00.000",2024-12-01 18:00:00,-0.115,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
150622,2024,"13","CUPE","2024-12-02 10:00:00.000",2024-12-02 10:00:00,-0.976,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
