fonte_dados,cod_estacao,ano_alvo,estacao_mp10,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia,estacao_historica,nota,n_registros_ano,n_registros_com_valor_ano,n_registros_sem_valor_ano,n_datas_com_registro_ano,n_meses_com_registro_ano,precipitacao_min_ano,precipitacao_max_ano,ano_tem_dados,ano_12_meses,ano_300_dias,ano_330_dias
CEMADEN,260790101A,2021,EDCUPE,Muribeca,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.157,-8.157,-34.968,-34.968,70674,2017-01-02T09:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1628,0,-8.157,-34.968,0,0,FALSE,2017,2025,9,4,5,3,272.333333333333,1,1,13,Ipojuca,-8.39754,-35.04313,27.9953383239216,>20-30 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10750,10750,0,365,12,0,15.98,TRUE,TRUE,TRUE,TRUE
INMET,82897,2021,EDCUPE,TAPACURA,"","",CONVENCIONAL,Horaria,Desativada,102,-8.17,-8.17,-35.18,-35.18,9860,2017-01-01T12:00:00Z,2025-12-31T18:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,9860,0,0,0,-8.17,-35.18,0,0,FALSE,2017,2025,9,9,9,9,365.222222222222,0,0,13,Ipojuca,-8.39754,-35.04313,29.4444398985124,>20-30 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,1095,0,1095,365,12,,,TRUE,TRUE,TRUE,TRUE
CEMADEN,260790106A,2021,EDCUPE,Piedade,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.154,-8.154,-34.914,-34.914,79772,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1578,0,-8.154,-34.914,0,0,FALSE,2017,2025,9,6,6,6,305.222222222222,1,1,13,Ipojuca,-8.39754,-35.04313,30.5818407434982,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10581,10581,0,365,12,0,13.01,TRUE,TRUE,TRUE,TRUE
CEMADEN,261190301A,2021,EDCUPE,Centro,RIO FORMOSO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.661,-8.661,-35.153,-35.153,65208,2017-01-01T03:00:00Z,2022-08-22T18:00:00Z,2017;2018;2019;2020;2021;2022,0,0,124,0,-8.661,-35.153,0,0,FALSE,2017,2022,6,5,5,5,341,1,1,13,Ipojuca,-8.39754,-35.04313,31.6890427471465,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10898,10898,0,365,12,0,13.41,TRUE,TRUE,TRUE,TRUE
CEMADEN,260940202A,2021,EDCUPE,Centro,MORENO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.118,-8.118,-35.101,-35.101,95068,2017-01-01T03:00:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1572,0,-8.118,-35.101,0,0,FALSE,2017,2025,9,8,9,8,355.777777777778,1,1,13,Ipojuca,-8.39754,-35.04313,31.7290943089611,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10458,10458,0,364,12,0,14.95,TRUE,TRUE,TRUE,TRUE
CEMADEN,261160615A,2021,EDCUPE,Ibura,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.122,-8.122,-34.955,-34.955,74536,2017-01-01T03:00:00Z,2023-11-25T16:40:00Z,2017;2018;2019;2020;2021;2022;2023,0,0,2,0,-8.122,-34.955,0,0,FALSE,2017,2023,7,6,7,6,357.285714285714,1,1,13,Ipojuca,-8.39754,-35.04313,32.1368931518028,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10883,10883,0,365,12,0,14.28,TRUE,TRUE,TRUE,TRUE
CEMADEN,261160609G,2021,EDCUPE,UR12 - COHAB,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.130699,-8.12152,-34.952228,-34.933022,37555,2019-10-01T00:10:00Z,2023-10-30T14:40:00Z,2019;2020;2021;2022;2023,0,0,0,0,-8.1261095,-34.942625,0.0091789999999996,0.0192059999999969,TRUE,2019,2023,5,3,4,3,295.8,1,1,13,Ipojuca,-8.39754,-35.04313,32.1442596676448,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10213,10213,0,359,12,0,13,TRUE,TRUE,TRUE,TRUE
CEMADEN,261160604A,2021,EDCUPE,Alto Bela Vista | USF Alto Bela Vista-Ibura,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.123583,-8.123583,-34.941528,-34.941528,65251,2017-01-01T03:00:00Z,2023-07-21T11:10:00Z,2017;2018;2019;2020;2021;2022;2023,0,0,2,0,-8.123583,-34.941528,0,0,FALSE,2017,2023,7,5,5,4,274.5,1,1,13,Ipojuca,-8.39754,-35.04313,32.4495921303536,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,11075,11075,0,364,12,0,14.28,TRUE,TRUE,TRUE,TRUE
CEMADEN,261160606G,2021,EDCUPE,Lagoa Encantada - COHAB,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.11785,-8.11784,-34.950142,-34.950131,51955,2019-10-01T00:10:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1606,0,-8.117845,-34.9501365,1.00000000013978e-05,1.10000000006494e-05,FALSE,2019,2025,7,4,4,4,263.142857142857,1,1,13,Ipojuca,-8.39754,-35.04313,32.7409900538954,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10726,10726,0,365,12,0,12.2,TRUE,TRUE,TRUE,TRUE
CEMADEN,260790102G,2021,EDCUPE,Alto Vento,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.10031,-8.100284,-34.982633,-34.982616,51601,2019-10-01T00:10:00Z,2024-09-07T01:10:00Z,2019;2020;2021;2022;2023;2024,0,0,0,0,-8.100297,-34.9826245,2.60000000000815e-05,1.69999999997117e-05,FALSE,2019,2024,6,4,4,4,300.333333333333,1,1,13,Ipojuca,-8.39754,-35.04313,33.7159452352425,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10913,10913,0,365,12,0,16,TRUE,TRUE,TRUE,TRUE
