fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia
CEMADEN,261470903A,G2-261470903A | G2-Escola Mun Maria Luíza,TACAIMBÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.323819,-8.323428,-36.29161,-36.291373,3725,2025-09-03T12:10:00Z,2025-12-31T23:10:00Z,2025,0,0,1516,0,-8.3236235,-36.2914915,0.000391000000000474,0.000236999999998488,FALSE,2025,2025,1,0,0,0,60.5,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,141.161150057902,>50 km
CEMADEN,261470904A,G2-261470904A | G2-Prefeitura,TACAIMBÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.316247,-8.316232,-36.29162,-36.291599,3714,2025-09-03T11:10:00Z,2025-12-31T23:10:00Z,2025,0,0,1510,0,-8.3162395,-36.2916095,1.50000000012085e-05,2.10000000038235e-05,FALSE,2025,2025,1,0,0,0,60.5,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,141.255345249038,>50 km
CEMADEN,261470902A,TACAIMBO - APAC,TACAIMBÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.316389,-8.316389,-36.291667,-36.291667,61230,2017-11-15T16:50:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1504,0,-8.316389,-36.291667,0,0,FALSE,2017,2025,9,5,5,5,278.888888888889,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,141.259946556651,>50 km
CEMADEN,260880001C,LAJEDO,LAJEDO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.6165,-8.6165,-36.302388,-36.302388,28913,2017-01-22T15:40:00Z,2024-03-22T09:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,0,0,-8.6165,-36.302388,0,0,FALSE,2017,2024,8,3,1,0,201.625,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,142.972934523937,>50 km
CEMADEN,261250501A,SANTA CRUZ DO CAPIBARIBE - APAC,SANTA CRUZ DO CAPIBARIBE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.95798,-7.95798,-36.21818,-36.21818,65985,2017-12-06T19:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,26,0,-7.95798,-36.21818,0,0,FALSE,2017,2025,9,8,7,6,307,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,143.104296188241,>50 km
CEMADEN,261500301C,TAQUARITINGA DO NORTE,TAQUARITINGA DO NORTE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.81375,-7.81375,-36.151472,-36.151472,16997,2018-02-14T18:00:00Z,2025-11-28T11:00:00Z,2018;2019;2020;2021;2022;2025,0,0,1490,0,-7.81375,-36.151472,0,0,FALSE,2018,2025,6,3,0,0,219.833333333333,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,143.462852966163,>50 km
CEMADEN,260880001A,Centro,LAJEDO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.66027,-8.66027,-36.32232,-36.32232,83836,2017-01-01T03:00:00Z,2025-12-23T11:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,80,0,-8.66027,-36.32232,0,0,FALSE,2017,2025,9,9,8,8,351.666666666667,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,145.861475251767,>50 km
CEMADEN,260100301A,ANGELIM - APAC,ANGELIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.888056,-8.888056,-36.286389,-36.286389,54417,2017-12-06T20:50:00Z,2025-10-01T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,8,0,-8.888056,-36.286389,0,0,FALSE,2017,2025,9,4,3,3,222.333333333333,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,148.339638560273,>50 km
CEMADEN,260330601A,CALCADO - APAC,CALÇADO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.737501,-8.737501,-36.337888,-36.337888,62382,2017-11-30T08:00:00Z,2025-12-02T13:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,66,0,-8.737501,-36.337888,0,0,FALSE,2017,2025,9,6,5,4,272.777777777778,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,149.178627832611,>50 km
CEMADEN,261250501U,SANTA CRUZ DO CAPIBARIBE,SANTA CRUZ DO CAPIBARIBE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.939638,-7.939638,-36.297083,-36.297083,37414,2017-07-03T10:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2021;2022;2023;2024;2025,0,0,680,0,-7.939638,-36.297083,0,0,FALSE,2017,2025,8,1,3,1,182.375,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,151.9251600283,>50 km
