estacao_historica,ano_alvo,fonte_dados,cod_estacao,estacao_mp10,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia,nota,n_registros_ano,n_registros_com_valor_ano,n_registros_sem_valor_ano,n_datas_com_registro_ano,n_meses_com_registro_ano,precipitacao_min_ano,precipitacao_max_ano,ano_tem_dados,ano_12_meses,ano_300_dias,ano_330_dias
IFPE,2018,CEMADEN,260720801A,IFPE,Centro,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.4,-8.4,-35.064,-35.064,89265,2017-01-01T03:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1634,0,-8.4,-35.064,0,0,FALSE,2017,2025,9,7,7,7,331.111111111111,1,1,14,Ipojuca,-8.38456,-35.0423,2.94037517011968,<=5 km,Referencia anual elegivel IFPE 2018,10225,10225,0,365,12,0,17.48,TRUE,TRUE,TRUE,TRUE
IFPE,2018,CEMADEN,260720804A,IFPE,Rurópolis,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.411,-8.411,-35.07,-35.07,66265,2017-01-01T03:00:00Z,2025-12-31T23:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1484,0,-8.411,-35.07,0,0,FALSE,2017,2025,9,8,6,6,306,1,1,14,Ipojuca,-8.38456,-35.0423,4.23417961072742,<=5 km,Referencia anual elegivel IFPE 2018,10224,10224,0,365,12,0,15.78,TRUE,TRUE,TRUE,TRUE
IFPE,2018,CEMADEN,260290204A,IFPE,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.33,-8.33,-34.956,-34.956,78032,2017-01-01T03:00:00Z,2025-09-19T11:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.33,-34.956,0,0,FALSE,2017,2025,9,6,6,6,301.777777777778,1,1,14,Ipojuca,-8.38456,-35.0423,11.2670570461699,>10-20 km,Referencia anual elegivel IFPE 2018,10044,10044,0,365,12,0,13.42,TRUE,TRUE,TRUE,TRUE
IFPE,2018,CEMADEN,260720803A,IFPE,Porto de Galinhas,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.507,-8.507,-35.004,-35.004,32805,2017-01-01T03:00:00Z,2020-01-24T09:50:00Z,2017;2018;2019;2020,0,0,2,0,-8.507,-35.004,0,0,FALSE,2017,2020,4,3,3,3,277,1,1,14,Ipojuca,-8.38456,-35.0423,14.2515483795198,>10-20 km,Referencia anual elegivel IFPE 2018,9887,9887,0,365,12,0,15.57,TRUE,TRUE,TRUE,TRUE
IFPE,2018,CEMADEN,260520201A,IFPE,Jaguaribe,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.369,-8.369,-35.241,-35.241,96156,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1680,0,-8.369,-35.241,0,0,FALSE,2017,2025,9,8,8,8,348,1,1,14,Ipojuca,-8.38456,-35.0423,21.9271149124324,>20-30 km,Referencia anual elegivel IFPE 2018,10734,10734,0,365,12,0,11.75,TRUE,TRUE,TRUE,TRUE
IFPE,2018,CEMADEN,260790109A,IFPE,Barra de Jangada,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.22,-8.22,-34.932,-34.932,62494,2017-01-01T03:00:00Z,2024-06-12T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.22,-34.932,0,0,FALSE,2017,2024,8,4,4,3,265.5,1,1,14,Ipojuca,-8.38456,-35.0423,21.9571321829508,>20-30 km,Referencia anual elegivel IFPE 2018,10028,10028,0,365,12,0,15.13,TRUE,TRUE,TRUE,TRUE
IFPE,2018,CEMADEN,260790104A,IFPE,Prazeres,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.188,-8.188,-34.953,-34.953,82109,2017-01-01T03:00:00Z,2025-12-27T20:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,348,0,-8.188,-34.953,0,0,FALSE,2017,2025,9,7,6,6,301.111111111111,1,1,14,Ipojuca,-8.38456,-35.0423,23.9636832965579,>20-30 km,Referencia anual elegivel IFPE 2018,9465,9465,0,365,12,0,10.18,TRUE,TRUE,TRUE,TRUE
IFPE,2018,CEMADEN,261420401A,IFPE,Centro,SIRINHAÉM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.592,-8.592,-35.116,-35.116,81298,2017-01-01T03:00:00Z,2025-12-31T15:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,544,0,-8.592,-35.116,0,0,FALSE,2017,2025,9,8,8,7,341.666666666667,1,1,14,Ipojuca,-8.38456,-35.0423,24.44893656322,>20-30 km,Referencia anual elegivel IFPE 2018,10151,10151,0,365,12,0,12.6,TRUE,TRUE,TRUE,TRUE
IFPE,2018,CEMADEN,261420402A,IFPE,SIRINHAEM - APAC,SIRINHAÉM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.594572,-8.594572,-35.109969,-35.109969,34732,2017-11-24T16:40:00Z,2024-03-19T18:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,0,0,-8.594572,-35.109969,0,0,FALSE,2017,2024,8,2,2,2,161.625,1,1,14,Ipojuca,-8.38456,-35.0423,24.5094564639831,>20-30 km,Referencia anual elegivel IFPE 2018,10071,10071,0,365,12,0,14.7,TRUE,TRUE,TRUE,TRUE
IFPE,2018,INMET,82897,IFPE,TAPACURA,"","",CONVENCIONAL,Horaria,Desativada,102,-8.17,-8.17,-35.18,-35.18,9860,2017-01-01T12:00:00Z,2025-12-31T18:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,9860,0,0,0,-8.17,-35.18,0,0,FALSE,2017,2025,9,9,9,9,365.222222222222,0,0,14,Ipojuca,-8.38456,-35.0423,28.2628664721419,>20-30 km,Referencia anual elegivel IFPE 2018,1095,0,1095,365,12,,,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,260720801G,IPOJUCA,Campo do Avião,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.399458,-8.399431,-35.058456,-35.058455,53642,2019-10-01T16:00:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1580,0,-8.3994445,-35.0584555,2.69999999993331e-05,9.99999997475243e-07,FALSE,2019,2025,7,4,4,4,286.857142857143,1,1,12,Ipojuca,-8.44359,-35.01403,6.92640747959743,>5-10 km,Referencia anual elegivel IPOJUCA 2021,10328,10328,0,365,12,0,13.2,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,260720804A,IPOJUCA,Rurópolis,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.411,-8.411,-35.07,-35.07,66265,2017-01-01T03:00:00Z,2025-12-31T23:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1484,0,-8.411,-35.07,0,0,FALSE,2017,2025,9,8,6,6,306,1,1,12,Ipojuca,-8.44359,-35.01403,7.14376732272583,>5-10 km,Referencia anual elegivel IPOJUCA 2021,10715,10715,0,365,12,0,12.2,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,260720801A,IPOJUCA,Centro,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.4,-8.4,-35.064,-35.064,89265,2017-01-01T03:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1634,0,-8.4,-35.064,0,0,FALSE,2017,2025,9,7,7,7,331.111111111111,1,1,12,Ipojuca,-8.44359,-35.01403,7.32836097674827,>5-10 km,Referencia anual elegivel IPOJUCA 2021,10977,10977,0,365,12,0,11.59,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,260720802A,IPOJUCA,Camela,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.511,-8.511,-35.122,-35.122,44193,2017-01-01T03:00:00Z,2022-06-13T13:10:00Z,2017;2018;2019;2020;2021;2022,0,0,2,0,-8.511,-35.122,0,0,FALSE,2017,2022,6,2,3,2,246.833333333333,1,1,12,Ipojuca,-8.44359,-35.01403,14.0424406796913,>10-20 km,Referencia anual elegivel IPOJUCA 2021,8961,8961,0,359,12,0,11.79,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,260290204A,IPOJUCA,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.33,-8.33,-34.956,-34.956,78032,2017-01-01T03:00:00Z,2025-09-19T11:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.33,-34.956,0,0,FALSE,2017,2025,9,6,6,6,301.777777777778,1,1,12,Ipojuca,-8.44359,-35.01403,14.1521806232538,>10-20 km,Referencia anual elegivel IPOJUCA 2021,10490,10490,0,361,12,0,16.89,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,260290203A,IPOJUCA,Torrinha,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.287,-8.287,-35.033,-35.033,75777,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1660,0,-8.287,-35.033,0,0,FALSE,2017,2025,9,5,4,4,280.333333333333,1,1,12,Ipojuca,-8.44359,-35.01403,17.5366564871593,>10-20 km,Referencia anual elegivel IPOJUCA 2021,10811,10811,0,365,12,0,17.89,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,261420401A,IPOJUCA,Centro,SIRINHAÉM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.592,-8.592,-35.116,-35.116,81298,2017-01-01T03:00:00Z,2025-12-31T15:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,544,0,-8.592,-35.116,0,0,FALSE,2017,2025,9,8,8,7,341.666666666667,1,1,12,Ipojuca,-8.44359,-35.01403,19.951784019321,>10-20 km,Referencia anual elegivel IPOJUCA 2021,10651,10651,0,362,12,0,11.58,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,260290205A,IPOJUCA,Pontes dos Carvalhos,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.233,-8.233,-34.979,-34.979,61197,2017-01-01T03:00:00Z,2025-03-26T20:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.233,-34.979,0,0,FALSE,2017,2025,9,5,5,4,252.333333333333,1,1,12,Ipojuca,-8.44359,-35.01403,23.7316044350037,>20-30 km,Referencia anual elegivel IPOJUCA 2021,10742,10742,0,365,12,0,16.2,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,260520201A,IPOJUCA,Jaguaribe,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.369,-8.369,-35.241,-35.241,96156,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1680,0,-8.369,-35.241,0,0,FALSE,2017,2025,9,8,8,8,348,1,1,12,Ipojuca,-8.44359,-35.01403,26.3084017033883,>20-30 km,Referencia anual elegivel IPOJUCA 2021,11054,11054,0,365,12,0,11.6,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2021,CEMADEN,261190301A,IPOJUCA,Centro,RIO FORMOSO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.661,-8.661,-35.153,-35.153,65208,2017-01-01T03:00:00Z,2022-08-22T18:00:00Z,2017;2018;2019;2020;2021;2022,0,0,124,0,-8.661,-35.153,0,0,FALSE,2017,2022,6,5,5,5,341,1,1,12,Ipojuca,-8.44359,-35.01403,28.5995475345257,>20-30 km,Referencia anual elegivel IPOJUCA 2021,10898,10898,0,365,12,0,13.41,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,260720801G,IPOJUCA,Campo do Avião,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.399458,-8.399431,-35.058456,-35.058455,53642,2019-10-01T16:00:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1580,0,-8.3994445,-35.0584555,2.69999999993331e-05,9.99999997475243e-07,FALSE,2019,2025,7,4,4,4,286.857142857143,1,1,12,Ipojuca,-8.44359,-35.01403,6.92640747959743,>5-10 km,Referencia anual elegivel IPOJUCA 2025,11539,11539,0,365,12,0,8.2,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,260720804A,IPOJUCA,Rurópolis,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.411,-8.411,-35.07,-35.07,66265,2017-01-01T03:00:00Z,2025-12-31T23:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1484,0,-8.411,-35.07,0,0,FALSE,2017,2025,9,8,6,6,306,1,1,12,Ipojuca,-8.44359,-35.01403,7.14376732272583,>5-10 km,Referencia anual elegivel IPOJUCA 2025,11284,11284,0,365,12,0,14.73,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,260720801A,IPOJUCA,Centro,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.4,-8.4,-35.064,-35.064,89265,2017-01-01T03:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1634,0,-8.4,-35.064,0,0,FALSE,2017,2025,9,7,7,7,331.111111111111,1,1,12,Ipojuca,-8.44359,-35.01403,7.32836097674827,>5-10 km,Referencia anual elegivel IPOJUCA 2025,11009,11009,0,361,12,0,16.78,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,260720805A,IPOJUCA,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.368205,-8.368205,-35.13522,-35.13522,52095,2017-11-09T12:40:00Z,2025-12-30T19:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1564,0,-8.368205,-35.13522,0,0,FALSE,2017,2025,9,4,4,3,203.5,1,1,12,Ipojuca,-8.44359,-35.01403,15.7473789123554,>10-20 km,Referencia anual elegivel IPOJUCA 2025,11099,11099,0,352,12,0,10.78,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,260290202A,IPOJUCA,Charneca,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.297,-8.297,-35.057,-35.057,64475,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1782,0,-8.297,-35.057,0,0,FALSE,2017,2025,9,3,3,3,239.666666666667,1,1,12,Ipojuca,-8.44359,-35.01403,16.9717066153013,>10-20 km,Referencia anual elegivel IPOJUCA 2025,12458,12458,0,365,12,0,15.15,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,260290203A,IPOJUCA,Torrinha,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.287,-8.287,-35.033,-35.033,75777,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1660,0,-8.287,-35.033,0,0,FALSE,2017,2025,9,5,4,4,280.333333333333,1,1,12,Ipojuca,-8.44359,-35.01403,17.5366564871593,>10-20 km,Referencia anual elegivel IPOJUCA 2025,11975,11975,0,365,12,0,10.62,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,261420401A,IPOJUCA,Centro,SIRINHAÉM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.592,-8.592,-35.116,-35.116,81298,2017-01-01T03:00:00Z,2025-12-31T15:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,544,0,-8.592,-35.116,0,0,FALSE,2017,2025,9,8,8,7,341.666666666667,1,1,12,Ipojuca,-8.44359,-35.01403,19.951784019321,>10-20 km,Referencia anual elegivel IPOJUCA 2025,6384,6384,0,342,12,0,56.86,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,260520201A,IPOJUCA,Jaguaribe,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.369,-8.369,-35.241,-35.241,96156,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1680,0,-8.369,-35.241,0,0,FALSE,2017,2025,9,8,8,8,348,1,1,12,Ipojuca,-8.44359,-35.01403,26.3084017033883,>20-30 km,Referencia anual elegivel IPOJUCA 2025,12091,12091,0,365,12,0,13.5,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,261190303A,IPOJUCA,RIO FORMOSO - APAC,RIO FORMOSO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.67534,-8.67534,-35.160509,-35.160509,66036,2017-11-22T04:50:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1282,0,-8.67534,-35.160509,0,0,FALSE,2017,2025,9,5,5,5,259.666666666667,1,1,12,Ipojuca,-8.44359,-35.01403,30.3887898303117,>30-50 km,Referencia anual elegivel IPOJUCA 2025,10532,10532,0,337,12,0,859.55,TRUE,TRUE,TRUE,TRUE
IPOJUCA,2025,CEMADEN,260790101A,IPOJUCA,Muribeca,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.157,-8.157,-34.968,-34.968,70674,2017-01-02T09:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1628,0,-8.157,-34.968,0,0,FALSE,2017,2025,9,4,5,3,272.333333333333,1,1,12,Ipojuca,-8.44359,-35.01403,32.2673541142604,>30-50 km,Referencia anual elegivel IPOJUCA 2025,11943,11943,0,365,12,0,13.88,TRUE,TRUE,TRUE,TRUE
