estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,precip_diaria_final_mm,n_registros_final,n_registros_00h_relocados,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao_final,flag_borda_2025
CUPE,2021,2021-01-21,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,2.2,28,0,0.8,28,60,TRUE,TRUE,TRUE,TRUE,10.3321052631579,TRUE,FALSE
CUPE,2021,2021-01-22,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,3.4,26,0,2.4,26,60,TRUE,TRUE,TRUE,TRUE,13.0311111111111,TRUE,FALSE
CUPE,2021,2021-01-23,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0.4,26,0,0.2,26,60,TRUE,TRUE,TRUE,TRUE,17.43,TRUE,FALSE
CUPE,2021,2021-01-24,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,2.8,30,0,1,30,60,TRUE,TRUE,TRUE,TRUE,14.1619047619048,TRUE,FALSE
CUPE,2021,2021-01-25,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.7468421052632,TRUE,FALSE
CUPE,2021,2021-01-26,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,4.6,36,1,0.8,35,60,TRUE,TRUE,TRUE,TRUE,10.2210526315789,TRUE,FALSE
CUPE,2021,2021-01-27,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,14.8,38,0,3.4,39,60,TRUE,TRUE,TRUE,TRUE,16.369,TRUE,FALSE
CUPE,2021,2021-01-28,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,7.4,29,0,1.8,29,70,FALSE,TRUE,TRUE,TRUE,14.8471428571429,TRUE,FALSE
CUPE,2021,2021-01-29,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,13.6534782608696,TRUE,FALSE
CUPE,2021,2021-01-30,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,11.5410526315789,TRUE,FALSE
CUPE,2021,2021-01-31,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,15.5565217391304,TRUE,FALSE
CUPE,2021,2021-02-01,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,10.9895652173913,TRUE,FALSE
CUPE,2021,2021-02-02,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,11.8536363636364,TRUE,FALSE
CUPE,2021,2021-02-03,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.3352479340909,TRUE,FALSE
CUPE,2021,2021-02-04,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,20.14625,TRUE,FALSE
CUPE,2021,2021-02-05,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,17.824347826087,TRUE,FALSE
CUPE,2021,2021-02-06,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,10.3966666666667,TRUE,FALSE
CUPE,2021,2021-02-07,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.5414285714286,TRUE,FALSE
CUPE,2021,2021-02-08,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,18.0195,TRUE,FALSE
CUPE,2021,2021-02-09,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,21.259,TRUE,FALSE
CUPE,2021,2021-02-10,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,1.8,26,0,1,26,70,FALSE,TRUE,TRUE,TRUE,21.2265,TRUE,FALSE
CUPE,2021,2021-02-11,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.4495652173913,TRUE,FALSE
CUPE,2021,2021-02-12,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0.6,25,0,0.4,25,60,TRUE,TRUE,TRUE,TRUE,9.27352941176471,TRUE,FALSE
CUPE,2021,2021-02-13,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,2.4,31,0,0.8,31,60,TRUE,TRUE,TRUE,TRUE,10.8,TRUE,FALSE
CUPE,2021,2021-02-14,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,1.8,27,0,1,27,60,TRUE,TRUE,TRUE,TRUE,8.15833333333333,TRUE,FALSE
CUPE,2021,2021-02-15,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,30.4,43,0,9,43,70,FALSE,TRUE,TRUE,TRUE,5.2952380952381,TRUE,FALSE
CUPE,2021,2021-02-16,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0.2,25,0,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-17,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-18,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-19,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-20,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-21,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-22,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-23,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-24,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-25,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,7.8,32,0,1.6,32,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-02-26,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,3.4,26,0,1.6,26,70,FALSE,TRUE,TRUE,TRUE,7.098,TRUE,FALSE
CUPE,2021,2021-02-27,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,8.76695652173913,TRUE,FALSE
CUPE,2021,2021-02-28,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,29.6,50,0,4.6,50,60,TRUE,TRUE,TRUE,TRUE,6.6652380952381,TRUE,FALSE
CUPE,2021,2021-03-01,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,64.2,72,1,5.4,71,60,TRUE,TRUE,TRUE,TRUE,21.3954166666667,TRUE,FALSE
CUPE,2021,2021-03-02,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,8.4,28,0,6.2,29,70,FALSE,TRUE,TRUE,TRUE,24.4327272727273,TRUE,FALSE
CUPE,2021,2021-03-03,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,1.8,28,0,0.6,28,60,TRUE,TRUE,TRUE,TRUE,27.2152941176471,TRUE,FALSE
CUPE,2021,2021-03-04,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,2.2,30,0,0.8,30,60,TRUE,TRUE,TRUE,TRUE,24.5291666666667,TRUE,FALSE
CUPE,2021,2021-03-05,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0.6,26,0,0.4,26,60,TRUE,TRUE,TRUE,TRUE,32.67125,TRUE,FALSE
CUPE,2021,2021-03-06,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,30.1041666666667,TRUE,FALSE
