estacao_historica,ano_alvo,cod_estacao,nome_estacao,municipios,distancia_km,n_dias_ano,n_dias_com_precipitacao,n_dias_cobertura_60,n_dias_cobertura_70,n_dias_cobertura_90,n_dias_mp10_validos,n_overlap_60_mp10,n_overlap_70_mp10,n_overlap_90_mp10,total_mm_dias_60,total_mm_dias_70,total_mm_dias_90,max_precip_diaria_final_mm,n_registros_00h_relocados,pct_overlap_60_mp10,pct_overlap_70_mp10,pct_overlap_90_mp10
IPOJUCA,2021,261420402A,SIRINHAEM - APAC,SIRINHAÉM,19.828256502838,365,183,147,157,164,329,142,152,159,722.43,767.1,784.42,89.1,179,43.161094224924,46.2006079027356,48.3282674772037
IPOJUCA,2021,261420401A,Centro,SIRINHAÉM,19.951784019321,365,362,282,304,311,329,253,274,281,1576.03,1664.94,1705.82,168.98,357,76.8996960486322,83.2826747720365,85.4103343465046
IPOJUCA,2025,260720801G,Campo do Avião,IPOJUCA,6.92640747959743,365,365,268,359,360,312,230,308,309,926.4,1869.6,1869.6,89,21,73.7179487179487,98.7179487179487,99.0384615384615
IPOJUCA,2025,260720804A,Rurópolis,IPOJUCA,7.14376732272583,365,365,334,346,354,312,287,298,304,1845.06,1989.9,2012.62,125.05,21,91.9871794871795,95.5128205128205,97.4358974358974
IPOJUCA,2025,260720801A,Centro,IPOJUCA,7.32836097674827,365,361,329,339,348,312,283,291,299,1242.68,1296.79,1364.88,96.69,13,90.7051282051282,93.2692307692308,95.8333333333333
IPOJUCA,2025,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,14.1521806232538,365,162,137,153,156,312,113,127,130,1229.44,1362.91,1425.35,100.96,157,36.2179487179487,40.7051282051282,41.6666666666667
IPOJUCA,2025,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,IPOJUCA,15.7473789123554,365,352,269,276,278,312,233,237,239,1979.59,2136.44,2146.3,124.26,313,74.6794871794872,75.9615384615385,76.6025641025641
IPOJUCA,2025,260290202A,Charneca,CABO DE SANTO AGOSTINHO,16.9717066153013,365,365,317,341,348,312,275,295,300,2223.09,2590.44,2633.58,157.94,359,88.1410256410256,94.5512820512821,96.1538461538462
IPOJUCA,2025,260290203A,Torrinha,CABO DE SANTO AGOSTINHO,17.5366564871593,365,365,308,343,351,312,264,296,303,1963.94,2186.38,2279.41,126.19,26,84.6153846153846,94.8717948717949,97.1153846153846
IPOJUCA,2025,260290201G,Pirapama,CABO DE SANTO AGOSTINHO,18.807621519499,365,237,0,1,2,312,0,1,2,0,114.4,204.4,305.6,18,0,0.320512820512821,0.641025641025641
IPOJUCA,2025,261420401A,Centro,SIRINHAÉM,19.951784019321,365,342,96,100,104,312,74,78,80,1150.84,1213.92,1275.46,122.89,115,23.7179487179487,25,25.6410256410256
