estacao_historica,ano_alvo,sensibilidade_provisoria,principal_provisorio,status_antes_09f,nome_principal,distancia_principal_km,overlap60_principal,overlap70_principal,overlap90_principal,nome_sensibilidade,distancia_sensibilidade_km,overlap60_sensibilidade,overlap70_sensibilidade,overlap90_sensibilidade
CUPE,2021,260720804A,260720801A,provisorio_por_proxy_espacial_CUPE,Centro,2.31199229299342,87.8962536023055,90.2017291066282,92.7953890489914,Rurópolis,3.31306361103069,85.014409221902,88.7608069164265,89.3371757925072
IFPE,2018,260720804A,260720801A,proposto,Centro,2.94037517011968,90.1818181818182,92.7272727272727,95.6363636363636,Rurópolis,4.23417961072742,92,96.3636363636364,97.8181818181818
IPOJUCA,2021,260720804A,260720801A,proposto,Centro,7.32836097674827,87.2340425531915,89.6656534954408,92.4012158054711,Rurópolis,7.14376732272583,84.8024316109423,88.4498480243161,89.0577507598784
IPOJUCA,2025,260720801G,260720804A,proposto,Rurópolis,7.14376732272583,91.9871794871795,95.5128205128205,97.4358974358974,Campo do Avião,6.92640747959743,73.7179487179487,98.7179487179487,99.0384615384615
