estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,precip_diaria_mm,precip_diaria_mm_sens_midnight,n_registros_validos,n_registros_chuva,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao,diferenca_midnight_mm
CUPE,2021,2021-01-25,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.7468421052632,TRUE,0
CUPE,2021,2021-01-26,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,4.4,4.6,35,13,0.8,35,60,TRUE,TRUE,TRUE,TRUE,10.2210526315789,TRUE,0.200000000000001
CUPE,2021,2021-01-27,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,15,14.8,39,23,3.4,39,60,TRUE,TRUE,TRUE,TRUE,16.369,TRUE,-0.199999999999999
CUPE,2021,2021-01-28,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,7.4,7.4,29,8,1.8,29,70,FALSE,TRUE,TRUE,TRUE,14.8471428571429,TRUE,0
CUPE,2021,2021-01-29,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,13.6534782608696,TRUE,0
CUPE,2021,2021-01-30,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,11.5410526315789,TRUE,0
CUPE,2021,2021-01-31,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,15.5565217391304,TRUE,0
CUPE,2021,2021-02-01,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,10.9895652173913,TRUE,0
CUPE,2021,2021-02-02,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,11.8536363636364,TRUE,0
CUPE,2021,2021-02-03,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.3352479340909,TRUE,0
