criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,media_a_mm,media_b_mm,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,mediana_abs_diff_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,205,191,55.0432276657061,0.975526950707111,0.903763281499228,0.97876094829516,0.906030245015068,4.63414634146341,5.66624390243903,950,1161.58,1.22271578947368,1.03209756097561,1.64936585365854,4.41043043084979,0.2,0.96261780104712,1.58659685863874,4.23687205574513,0.917073170731707,0.862903225806452,0.868292682926829,0.7,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720801A,Centro,2.31199229299342
max_gap_60min,199,184,53.0259365994236,0.959730866136065,0.798340276388615,0.961144353690507,0.794997093440326,4.80301507537689,4.94929648241206,955.8,984.91,1.03045616237707,0.146281407035176,2.23743718592965,5.37618763319666,0.35,0.06125,2.28527173913044,5.48207389945908,0.849246231155779,0.758064516129032,0.814070351758794,0.584269662921348,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720804A,Rurópolis,3.31306361103069
max_gap_60min,46,44,12.6801152737752,0.370081030263673,0.778087038142843,0.391157960726088,0.775643657632693,1.05217391304348,4.39630434782609,48.4,202.23,4.17830578512397,3.34413043478261,3.63413043478261,6.80380376349685,1.02,3.02386363636364,3.32704545454545,6.51236987306744,0.891304347826087,0.852941176470588,0.673913043478261,0.4,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155
max_gap_60min,117,113,32.5648414985591,0.885907707730161,0.608000662111117,0.885779334043746,0.603694234108577,4.98974358974359,5.82598290598291,583.8,681.64,1.16759164097294,0.836239316239316,3.7782905982906,9.91921290301729,0.6,0.829026548672566,3.8716814159292,10.088928830939,0.683760683760684,0.593406593406593,0.760683760683761,0.5,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290202A,Charneca,11.2832131026728
max_gap_60min,185,172,49.5677233429395,0.873986184677306,0.616165504482475,0.874328605783616,0.604652494182801,4.48324324324324,4.87124324324324,829.4,901.18,1.08654448999277,0.388,3.50248648648649,9.27700778880311,0.4,0.383895348837209,3.67261627906977,9.59048071521116,0.751351351351351,0.616666666666667,0.756756756756757,0.464285714285714,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,207,193,55.6195965417868,0.903960189003803,0.657445674513847,0.903983302064735,0.647310539968232,4.73719806763285,5.03628019323672,980.6,1042.51,1.06313481541913,0.299082125603865,2.96671497584541,8.09351255084145,0.6,0.334507772020725,3.12528497409326,8.36589083921603,0.758454106280193,0.645390070921986,0.758454106280193,0.509803921568627,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290203A,Torrinha,12.3419267993948
max_gap_60min,85,74,21.3256484149856,0.888773102751864,0.464630464018816,0.889877492540195,0.478660617894682,3.42117647058824,4.55529411764706,290.8,387.2,1.33149931224209,1.13411764705882,2.88,7.76089746174788,0.6,1.38648648648649,3.17567567567568,8.26549323261343,0.658823529411765,0.508474576271186,0.717647058823529,0.4,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290201G,Pirapama,13.0597386932039
max_gap_60min,187,175,50.4322766570605,0.355511818630555,0.241292053803286,0.357123585487562,0.254960492517655,4.43208556149733,1.23727272727273,828.8,231.37,0.279162644787645,-3.1948128342246,3.8168449197861,16.9095095701721,0.4,-3.43668571428571,3.97988571428571,17.4620808774736,0.486631016042781,0.186440677966102,0.700534759358289,0.2,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720802A,Camela,15.3107152412702
max_gap_60min,212,198,57.0605187319885,0.899614283431402,0.651479720772991,0.900135367265664,0.648773798484338,4.52924528301887,4.76367924528302,960.2,1009.9,1.05176004998959,0.234433962264151,3.03405660377359,8.79611191980072,0.6,0.239545454545455,3.16621212121212,9.07835774206598,0.759433962264151,0.627737226277372,0.773584905660377,0.524752475247525,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290205A,Pontes dos Carvalhos,19.6094816469432
max_gap_60min,288,272,78.3861671469741,0.975606840814756,0.821470764252019,0.975874816063371,0.819136916613605,6.39420138888889,5.34986111111111,1841.53,1540.76,0.836673852720292,-1.04434027777778,1.77107638888889,4.16451765414275,0.405,-1.06875,1.82779411764706,4.24030251764853,0.822916666666667,0.735751295336788,0.871527777777778,0.751677852348993,CUPE,2021,260720801A,Centro,2.31199229299342,260720804A,Rurópolis,3.31306361103069
