estacao_historica,ano_alvo,variavel,grupo,n_pares,pct_dias_mp10_com_par,spearman,pearson,n_pares_anomalia,spearman_anomalia_mensal,pearson_anomalia_mensal,diferenca_spearman,sinal_bruto,sinal_anomalia,sinal_mantido
IPOJUCA,2021,umidade_media_pct,umidade,272,82.6747720364742,-0.64273798412066,-0.618450225890862,242,-0.453165064479681,-0.4363893892292,0.189572919640979,negativo,negativo,TRUE
IPOJUCA,2021,velocidade_vento_media_ms,vento,279,84.8024316109423,0.544065801623919,0.512691057375386,249,0.22220868390792,0.20952838275712,-0.321857117715998,positivo,positivo,TRUE
IPOJUCA,2021,vento_u_medio_ms,vento_componente,279,84.8024316109423,-0.71990086086443,-0.705949502845465,249,-0.481166295583839,-0.475093247770435,0.238734565280591,negativo,negativo,TRUE
IPOJUCA,2021,vento_v_medio_ms,vento_componente,279,84.8024316109423,-0.193585987466156,-0.196347640217934,249,-0.0697420526602827,-0.0351170326478965,0.123843934805874,negativo,negativo,TRUE
IPOJUCA,2025,precipitacao_lag0_mm,precipitacao,287,91.9871794871795,-0.52437172968792,-0.286834993145096,287,-0.384979290296923,-0.212680208453964,0.139392439390997,negativo,negativo,TRUE
IPOJUCA,2025,precipitacao_lag1_mm,precipitacao,289,92.6282051282051,-0.399334925805675,-0.234868613892135,289,-0.231792964004702,-0.167600548943008,0.167541961800973,negativo,negativo,TRUE
IPOJUCA,2025,precipitacao_lag2_mm,precipitacao,289,92.6282051282051,-0.29003740504105,-0.186478078589034,289,-0.0802132532908797,-0.100656516216952,0.209824151750171,negativo,negativo,TRUE
IPOJUCA,2025,pressao_media_hpa,pressao,312,100,-0.293062198003549,-0.243139106134315,312,-0.0885364601828819,-0.0748740271576997,0.204525737820667,negativo,negativo,TRUE
IPOJUCA,2025,temperatura_media_c,temperatura,312,100,0.466874036293373,0.373935204567391,312,0.472540757800809,0.32956128805022,0.00566672150743663,positivo,positivo,TRUE
IPOJUCA,2025,umidade_media_pct,umidade,184,58.974358974359,-0.36268691938025,-0.260285346287732,184,-0.35538245284851,-0.222000490925712,0.00730446653174011,negativo,negativo,TRUE
IPOJUCA,2025,velocidade_vento_media_ms,vento,312,100,0.0813102124647174,0.0530765732837957,312,0.0213496355842665,0.00553466579782216,-0.0599605768804509,positivo,positivo,TRUE
IPOJUCA,2025,vento_u_medio_ms,vento_componente,312,100,-0.436681472888493,-0.326187251400341,312,-0.281222311101221,-0.194385563559263,0.155459161787272,negativo,negativo,TRUE
IPOJUCA,2025,vento_v_medio_ms,vento_componente,312,100,-0.359032177257422,-0.2900596644117,312,-0.259374442517948,-0.207858323063805,0.0996577347394743,negativo,negativo,TRUE
