indicador,valor
n_station_years_analisados,5
n_variaveis_correlacao,9
n_correlacoes_brutas,45
n_correlacoes_intramensais,45
n_station_years_chuva_seco,5
n_setores_vento_resumidos,30
minimo_pares_correlacao,30
n_p_valores_calculados,0
n_graficos_gerados,2
