estacao_historica,ano_alvo,setor_vento,n_dias,mp10_media,mp10_mediana,mp10_sd,velocidade_vento_media,percentual_dias_validos_mp10,setor_com_n_adequado
CUPE,2021,E,50,15.130807971411,13.8989583333334,6.08843549205603,1.48559420289855,14.4092219020173,TRUE
CUPE,2021,SE,165,13.1753247273466,12.4020833333333,4.98566420588778,1.42974339669992,47.5504322766571,TRUE
CUPE,2021,NE,20,13.9022559782609,12.2822916666667,5.62217191269578,1.39416666666667,5.76368876080692,TRUE
CUPE,2021,S,58,9.92680289520312,9.84618421052631,2.92448414155796,1.11479260369815,16.7146974063401,TRUE
CUPE,2021,SW,3,7.58227053140096,6.69652173913043,1.55983618944369,0.774999999999999,0.864553314121037,FALSE
CUPE,2021,W,1,7.23909090909091,7.23909090909091,,0.683333333333333,0.288184438040346,FALSE
Gaibu,2019,SE,124,41.259883719331,39.1875,15.3464455127607,1.45495635578385,47.3282442748092,TRUE
Gaibu,2019,S,24,27.3820129190496,25.3598484848485,10.5048002470265,1.20674603174603,9.16030534351145,TRUE
Gaibu,2019,E,12,37.077690073614,30.25,20.7143110810106,1.0985809178744,4.58015267175573,TRUE
Gaibu,2019,N,1,24.7083333333333,24.7083333333333,,1.00416666666667,0.381679389312977,FALSE
Gaibu,2019,NE,2,56.0175438596492,56.0175438596492,6.5748525268223,0.827083333333333,0.763358778625954,FALSE
Gaibu,2019,W,2,14.3756684491979,14.3756684491979,5.18986126833437,0.510416666666667,0.763358778625954,FALSE
IFPE,2018,NE,5,21.8666666666667,20.375,6.72709591461607,1.38916666666667,1.81818181818182,FALSE
IFPE,2018,E,37,23.4798148989325,23.9166666666667,5.30176868878305,1.50229137031769,13.4545454545455,TRUE
IFPE,2018,SE,157,18.7801183132781,17.7916666666667,4.73211820419983,1.53986187797313,57.0909090909091,TRUE
IFPE,2018,S,51,17.4012789569056,17.0833333333333,3.11215623199245,1.20651075977163,18.5454545454545,TRUE
IFPE,2018,SW,1,15,15,,0.708333333333333,0.363636363636364,FALSE
IPOJUCA,2021,E,49,19.6678270729631,18.8468421052632,6.87074156384202,1.51489204377403,14.8936170212766,TRUE
IPOJUCA,2021,SE,157,14.263870998653,13.7179166666667,4.78772612914461,1.44771333623452,47.7203647416414,TRUE
IPOJUCA,2021,NE,17,16.3359080806236,16.2865217391304,5.26753313288156,1.44730392156863,5.16717325227964,TRUE
IPOJUCA,2021,S,53,8.84367456939855,7.940875,3.6166149081705,1.1338768115942,16.1094224924012,TRUE
IPOJUCA,2021,W,1,9.15375,9.15375,,0.683333333333333,0.303951367781155,FALSE
IPOJUCA,2021,SW,2,6.65250905797102,6.65250905797102,4.18900561297384,0.858333333333331,0.60790273556231,FALSE
IPOJUCA,2025,E,107,26.02161872693,25.2783333333333,11.4772203969842,1.90020147636462,34.2948717948718,TRUE
IPOJUCA,2025,SE,134,22.5800013718525,21.9922708333333,6.52038145241867,2.04065136275146,42.9487179487179,TRUE
IPOJUCA,2025,NE,22,27.9377488446908,28.7628333333333,5.4702915761908,1.96761363636364,7.05128205128205,TRUE
IPOJUCA,2025,NW,2,28.9276666666667,28.9276666666667,1.61126065206377,1.1875,0.641025641025641,FALSE
IPOJUCA,2025,S,39,16.9686741333285,15.1169047619048,5.61803100445983,1.99262820512821,12.5,TRUE
IPOJUCA,2025,W,5,19.15085,19.578875,7.34838756132178,1.25166666666667,1.6025641025641,FALSE
IPOJUCA,2025,SW,3,16.1086805555556,17.185375,4.37274069924124,1.58055555555555,0.961538461538461,FALSE
