estacao_historica,ano_alvo,n_secos,mp10_media_seco,mp10_mediana_seco,n_chuvosos,mp10_media_chuvoso,mp10_mediana_chuvoso,diferenca_media_chuvoso_menos_seco,diferenca_mediana_chuvoso_menos_seco,razao_medias_chuvoso_seco
CUPE,2021,113,14.7154995784414,13.4620833333333,192,12.5903839636799,11.5552990430622,-2.12511561476149,-1.9067842902711,0.855586580432863
Gaibu,2019,86,48.1941209118831,45.8958333333334,105,36.996706584513,35.7272727272727,-11.1974143273701,-10.1685606060607,0.76766016029542
IFPE,2018,86,20.6113312454313,19.4583333333333,162,19.0506069001531,17.8958333333333,-1.56072434527822,-1.5625,0.924278333762446
IPOJUCA,2021,107,18.3695920762004,18.0483333333333,180,13.4824341539302,11.9354356060606,-4.88715792227019,-6.1128977272727,0.73395392222117
IPOJUCA,2025,155,25.7924467966609,25.51025,132,20.5665666649262,19.0953541666667,-5.22588013173468,-6.4148958333333,0.797387189632151
