indicador,valor
n_dias_mp10_validos_gaibu_2019,262
n_estacoes_precip_com_coordenada,478
n_candidatos_ate10km,2
n_candidatos_ate20km,12
n_candidatos_ate30km,43
n_candidatos_ate50km,111
n_candidatos_primarios_ate20km,12
