fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude,longitude,distancia_gaibu_km,faixa_distancia
CEMADEN,261160604A,Alto Bela Vista | USF Alto Bela Vista-Ibura,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.123583,-8.123583,-34.941528,-34.941528,65251,2017-01-01T03:00:00Z,2023-07-21T11:10:00Z,2017;2018;2019;2020;2021;2022;2023,0,0,2,0,-8.123583,-34.941528,22.8981704604275,>20-30 km
CEMADEN,260290206A,CABO DE SANTO AGOSTINHO - APAC,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.280706,-8.280706,-35.159274,-35.159274,411,2019-05-02T14:10:00Z,2020-08-10T14:50:00Z,2019;2020,0,0,0,0,-8.280706,-35.159274,22.9699637722901,>20-30 km
CEMADEN,261160615A,Ibura,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.122,-8.122,-34.955,-34.955,74536,2017-01-01T03:00:00Z,2023-11-25T16:40:00Z,2017;2018;2019;2020;2021;2022;2023,0,0,2,0,-8.122,-34.955,23.0168958616149,>20-30 km
CEMADEN,261160607G,UR2 - COHAB,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.122034,-8.121034,-34.9526,-34.952593,9264,2019-10-01T00:10:00Z,2021-03-15T18:10:00Z,2019;2020;2021,0,0,0,0,-8.121534,-34.9525965,23.0718614045171,>20-30 km
CEMADEN,261160606G,Lagoa Encantada - COHAB,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.11785,-8.11784,-34.950142,-34.950131,51955,2019-10-01T00:10:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1606,0,-8.117845,-34.9501365,23.488249132863,>20-30 km
CEMADEN,261160609A,Imbiribeira | UPA da Imbiribeira,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.120975,-8.120975,-34.913983,-34.913983,84302,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1600,0,-8.120975,-34.913983,23.59447200032,>20-30 km
CEMADEN,261160605G,UR3 - Ibura,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.114375,-8.114365,-34.949029,-34.949,40427,2019-10-01T00:10:00Z,2023-10-30T15:10:00Z,2019;2020;2021;2022;2023,0,0,0,0,-8.11437,-34.9490145,23.8783178950919,>20-30 km
CEMADEN,260790106G,COMPESA - Dois Carneiros,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.110775,-8.110775,-34.964464,-34.964464,7722,2023-11-02T12:10:00Z,2024-07-25T15:00:00Z,2023;2024,0,0,0,0,-8.110775,-34.964464,24.2812709966795,>20-30 km
CEMADEN,260790115H,Santana,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.1088,-8.1088,-34.99944,-34.99944,30714,2023-05-09T13:10:00Z,2025-12-31T23:10:00Z,2023;2024;2025,0,0,1706,0,-8.1088,-34.99944,24.9404055752482,>20-30 km
CEMADEN,260790119H,Engenho Velho,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.111846,-8.111846,-35.013613,-35.013613,27979,2023-05-09T14:10:00Z,2025-12-31T23:10:00Z,2023;2024;2025,0,0,1710,0,-8.111846,-35.013613,24.9559236525348,>20-30 km
CEMADEN,260790107A,Centro,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.112,-8.112,-35.015,-35.015,71145,2017-01-01T03:00:00Z,2025-03-09T16:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.112,-35.015,24.9784011086068,>20-30 km
CEMADEN,260790101G,Socorro,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.105114,-8.105084,-34.998358,-34.998349,37971,2019-10-01T00:10:00Z,2023-11-30T23:10:00Z,2019;2020;2021;2022;2023,0,0,0,0,-8.105099,-34.9983535,25.3224069127516,>20-30 km
CEMADEN,261160621A,Areias,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.102,-8.102,-34.929,-34.929,84361,2017-01-01T03:00:00Z,2024-12-21T19:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.102,-34.929,25.418473081929,>20-30 km
CEMADEN,260790102G,Alto Vento,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.10031,-8.100284,-34.982633,-34.982616,51601,2019-10-01T00:10:00Z,2024-09-07T01:10:00Z,2019;2020;2021;2022;2023;2024,0,0,0,0,-8.100297,-34.9826245,25.5942883825554,>20-30 km
CEMADEN,260790104G,Alto do Reservatório,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.09872,-8.098711,-34.974788,-34.974641,27132,2019-10-01T00:10:00Z,2025-12-28T23:20:00Z,2019;2020;2021;2023;2024;2025,0,0,244,0,-8.0987155,-34.9747145,25.6856990282984,>20-30 km
CEMADEN,260790103A,Cavaleiro,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.096,-8.096,-34.971,-34.971,59863,2017-01-01T03:00:00Z,2024-09-14T03:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.096,-34.971,25.958028235931,>20-30 km
CEMADEN,260790102A,Cavaleiro 2 | Cavaleiro2,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.09,-8.09,-34.97,-34.97,74902,2017-01-01T03:00:00Z,2024-07-31T17:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.09,-34.97,26.6174705549594,>20-30 km
CEMADEN,261160617A,Pina,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.099,-8.099,-34.887,-34.887,92364,2017-01-01T03:00:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1490,0,-8.099,-34.887,26.6867885021365,>20-30 km
CEMADEN,260720802A,Camela,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.511,-8.511,-35.122,-35.122,44193,2017-01-01T03:00:00Z,2022-06-13T13:10:00Z,2017;2018;2019;2020;2021;2022,0,0,2,0,-8.511,-35.122,27.2363489992819,>20-30 km
CEMADEN,260790103G,Curado II,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08213,-8.082069,-35.002892,-35.002782,42816,2019-10-01T01:50:00Z,2024-03-21T07:10:00Z,2019;2020;2021;2022;2023;2024,0,0,0,0,-8.0820995,-35.002837,27.9269762815399,>20-30 km
CEMADEN,260790105G,Manassu,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08619,-8.08619,-35.028697,-35.028697,8239,2020-01-22T08:50:00Z,2021-02-28T23:10:00Z,2020;2021,0,0,0,0,-8.08619,-35.028697,28.1496960662577,>20-30 km
CEMADEN,261160608G,Manassu,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08619,-8.08619,-35.028697,-35.028697,2126,2019-10-01T16:10:00Z,2019-12-31T23:10:00Z,2019,0,0,0,0,-8.08619,-35.028697,28.1496960662577,>20-30 km
CEMADEN,260940202A,Centro,MORENO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.118,-8.118,-35.101,-35.101,95068,2017-01-01T03:00:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1572,0,-8.118,-35.101,28.3555635505803,>20-30 km
CEMADEN,260790108A,Curado 4 | CuradoII,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08,-8.07105,-34.997,-34.99392,74068,2017-01-01T03:00:00Z,2024-05-13T19:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.075525,-34.99546,28.5119596928631,>20-30 km
CEMADEN,261160619A,San Martin,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.073,-8.073,-34.925,-34.925,53244,2017-01-01T03:00:00Z,2024-09-09T05:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.073,-34.925,28.6726268905999,>20-30 km
CEMADEN,261160622A,Boa Vista,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.069,-8.069,-34.891,-34.891,42036,2017-01-01T03:00:00Z,2021-03-02T12:20:00Z,2017;2018;2019;2020;2021,0,0,2,0,-8.069,-34.891,29.7895573639268,>20-30 km
INMET,82900,RECIFE (CURADO),"","",CONVENCIONAL,Horaria,Fechada,11.3,-8.05916666,-8.05916666,-34.95916666,-34.95916666,4016,2017-01-01T12:00:00Z,2020-08-31T18:00:00Z,2017;2018;2019;2020,147,0,0,0,-8.05916666,-34.95916666,30.0048785608036,>30-50 km
INMET,A301,RECIFE,"","",AUTOMATICA,Horaria,Desativada,11.3,-8.05916666,-8.05916666,-34.95916666,-34.95916666,42621,2017-01-01T03:00:00Z,2021-11-11T23:00:00Z,2017;2018;2019;2020;2021,1093,0,0,0,-8.05916666,-34.95916666,30.0048785608036,>30-50 km
INMET,82897,TAPACURA,"","",CONVENCIONAL,Horaria,Desativada,102,-8.17,-8.17,-35.18,-35.18,9860,2017-01-01T12:00:00Z,2025-12-31T18:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,9860,0,0,0,-8.17,-35.18,30.3079932901722,>30-50 km
CEMADEN,260520202A,ESCADA - APAC,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.355833,-8.355833,-35.234167,-35.234167,25898,2018-12-05T14:20:00Z,2022-03-24T13:30:00Z,2018;2019;2020;2021;2022,0,0,0,0,-8.355833,-35.234167,30.7164646049077,>30-50 km
CEMADEN,260520202H,Escada | Rio Ipojuca,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.3643,-8.3643,-35.2366,-35.2366,20628,2017-01-01T03:00:00Z,2019-01-23T17:40:00Z,2017;2018;2019,0,0,2,0,-8.3643,-35.2366,31.0873743922029,>30-50 km
CEMADEN,260520201A,Jaguaribe,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.369,-8.369,-35.241,-35.241,96156,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1680,0,-8.369,-35.241,31.636695622824,>30-50 km
CEMADEN,261160620A,Porto,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.054,-8.054,-34.873,-34.873,85125,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,878,0,-8.054,-34.873,31.9223857155085,>30-50 km
CEMADEN,261160616A,Várzea,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.039,-8.039,-34.959,-34.959,15871,2017-01-01T03:00:00Z,2018-06-25T11:40:00Z,2017;2018,0,0,2,0,-8.039,-34.959,32.2470216130765,>30-50 km
CEMADEN,261160603G,Brega e Chique,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.038242,-8.038048,-34.980061,-34.979298,62553,2019-10-01T00:10:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1482,0,-8.038145,-34.9796795,32.4429750325806,>30-50 km
CEMADEN,261160601A,Varzea,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.036,-8.036,-34.98,-34.98,63277,2017-01-01T03:00:00Z,2025-07-11T12:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.036,-34.98,32.6835398085341,>30-50 km
CEMADEN,261160623A,RECIFE - APAC,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.04491,-8.04491,-34.87518,-34.87518,79630,2017-10-05T12:50:00Z,2025-12-18T17:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,750,0,-8.04491,-34.87518,32.8258173784651,>30-50 km
CEMADEN,261160618A,Torreão,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.037,-8.037,-34.884,-34.884,88052,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1658,0,-8.037,-34.884,33.4288223001404,>30-50 km
CEMADEN,260345403A,Bairro dos Estados,CAMARAGIBE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.026,-8.026,-34.975,-34.975,44407,2017-01-01T03:00:00Z,2023-08-05T02:10:00Z,2017;2018;2019;2020;2021;2022;2023,0,0,2,0,-8.026,-34.975,33.7540295441067,>30-50 km
CEMADEN,261160604G,Barreira,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.024219,-8.024215,-34.964622,-34.964431,36950,2019-10-01T00:10:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2023;2024;2025,0,0,1660,0,-8.024217,-34.9645265,33.901553427558,>30-50 km
CEMADEN,260345401A,Timbi,CAMARAGIBE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.026,-8.026,-34.993,-34.993,92683,2017-01-01T03:00:00Z,2025-03-31T16:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.026,-34.993,33.9325385287528,>30-50 km
CEMADEN,261420402A,SIRINHAEM - APAC,SIRINHAÉM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.594572,-8.594572,-35.109969,-35.109969,34732,2017-11-24T16:40:00Z,2024-03-19T18:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,0,0,-8.594572,-35.109969,34.0259458285015,>30-50 km
CEMADEN,261160610A,Alto Mandu,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.024,-8.024,-34.927,-34.927,75399,2017-07-13T18:30:00Z,2025-09-16T18:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.024,-34.927,34.0664999152711,>30-50 km
CEMADEN,261420401A,Centro,SIRINHAÉM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.592,-8.592,-35.116,-35.116,81298,2017-01-01T03:00:00Z,2025-12-31T15:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,544,0,-8.592,-35.116,34.1148043333713,>30-50 km
CEMADEN,260345401G,Convento Carmelo,CAMARAGIBE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.020025,-8.020025,-34.977156,-34.977156,49088,2021-05-29T14:20:00Z,2025-12-31T23:10:00Z,2021;2022;2023;2024;2025,0,0,1670,0,-8.020025,-34.977156,34.4322179507467,>30-50 km
CEMADEN,261160603A,Dois Irmãos | Estação Experimental UFRPE,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.018378,-8.018378,-34.947058,-34.947058,82926,2017-01-01T03:00:00Z,2025-03-11T14:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.018378,-34.947058,34.553669877227,>30-50 km
CEMADEN,260345402A,Alberto Maia,CAMARAGIBE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.02,-8.02,-35.003,-35.003,50013,2017-01-01T03:00:00Z,2025-07-27T16:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.02,-35.003,34.7407939001783,>30-50 km
CEMADEN,261160613A,Morro da Conceição,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.019,-8.019,-34.915,-34.915,61361,2017-07-13T16:30:00Z,2025-12-31T09:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,60,0,-8.019,-34.915,34.7679098694896,>30-50 km
CEMADEN,260345404A,Jardim Primavera,CAMARAGIBE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.021425,-8.012,-34.987566,-34.969,99594,2017-01-01T03:00:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1704,0,-8.0167125,-34.978283,34.8081457226698,>30-50 km
CEMADEN,261160608A,Corrego Jenipapo,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.007,-8.007,-34.936,-34.936,62267,2017-01-01T03:00:00Z,2024-06-05T19:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.007,-34.936,35.8735015293796,>30-50 km
CEMADEN,261160607A,Alto do Céu,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.012,-8.012,-34.892,-34.892,53785,2017-01-01T03:00:00Z,2025-09-22T07:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.012,-34.892,35.9512779010323,>30-50 km
CEMADEN,261160616G,COMPAZ - Alto Sta. Terezinha | REC5,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.00984,-8.00919,-34.90313,-34.902819,23231,2023-10-31T20:50:00Z,2025-12-31T23:10:00Z,2023;2024;2025,0,0,1632,0,-8.009515,-34.9029745,36.0057403175234,>30-50 km
CEMADEN,261370104A,Rua dos Milagres,SÃO LOURENÇO DA MATA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.01,-8.01,-35.016,-35.016,77514,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1694,0,-8.01,-35.016,36.0739264549837,>30-50 km
CEMADEN,261160614A,Campina do Barreto,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.013,-8.013,-34.881,-34.881,84762,2017-01-01T03:00:00Z,2025-12-31T11:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1626,0,-8.013,-34.881,36.1008234578562,>30-50 km
