"indicador","valor"
"estacoes_historicas_mp10",6
"estacoes_monitorar_pe_todos_parametros",4
"estacoes_monitorar_pe_mp10",4
"linhas_busca_estacoes_alvo",12
"alertas_deslocamento_>=250m",4
"coordenadas_compartilhadas",1
"ano_2023_tem_registros_pe",0
