data_local,cod_estacao,nome_estacao,municipios,latitude,longitude,distancia_gaibu_km,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,precip_diaria_mm,n_registros_validos,n_registros_00h_relocados,n_registros_chuva,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao
2019-01-22,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,11.01,28,1,4,5.31,28,60,TRUE,TRUE,TRUE,TRUE,25.6363636363636,TRUE
2019-01-23,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,33.7916666666667,TRUE
2019-01-24,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,38.6666666666667,TRUE
2019-01-25,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,38.6666666666667,TRUE
2019-01-26,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,44.7083333333333,TRUE
2019-01-27,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,40.5,TRUE
2019-01-28,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,32.7,47,1,28,4.92,47,60,TRUE,TRUE,TRUE,TRUE,22.25,TRUE
2019-01-29,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.2,25,1,1,0.2,25,60,TRUE,TRUE,TRUE,TRUE,26.4782608695652,TRUE
2019-01-30,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,1.58,29,1,5,0.59,29,60,TRUE,TRUE,TRUE,TRUE,30.9166666666667,TRUE
2019-01-31,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,37,TRUE
2019-02-01,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,2.56,26,1,2,2.36,26,60,TRUE,TRUE,TRUE,TRUE,32.75,TRUE
2019-02-02,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,30.5416666666667,TRUE
2019-02-03,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,22.65,41,1,20,7.3,41,60,TRUE,TRUE,TRUE,TRUE,15.2083333333333,TRUE
2019-02-04,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,16.15,36,1,15,5.12,36,60,TRUE,TRUE,TRUE,TRUE,16.8333333333333,TRUE
2019-02-05,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,13.02,33,1,10,2.76,33,70,FALSE,TRUE,TRUE,TRUE,16,TRUE
2019-02-06,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,37.18,52,1,32,9.81,52,70,FALSE,TRUE,TRUE,TRUE,15.5238095238095,TRUE
2019-02-07,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,18,0,0,0,19,1600,FALSE,FALSE,FALSE,TRUE,35.25,TRUE
2019-02-08,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,5,1,0,0,4,1600,FALSE,FALSE,FALSE,TRUE,50.75,TRUE
2019-02-09,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,54.125,TRUE
2019-02-10,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,46.75,TRUE
2019-02-11,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,45.875,TRUE
2019-02-12,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.79,26,1,2,0.59,26,60,TRUE,TRUE,TRUE,TRUE,35.7272727272727,TRUE
2019-02-13,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,7.92,45,1,24,1.77,45,60,TRUE,TRUE,TRUE,TRUE,23.625,TRUE
2019-02-14,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,25.4444444444444,TRUE
2019-02-15,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,1.97,26,1,3,1.57,26,60,TRUE,TRUE,TRUE,TRUE,23.2083333333333,TRUE
2019-02-16,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,20,1,0,0,20,350,FALSE,FALSE,FALSE,TRUE,24.7083333333333,TRUE
2019-02-17,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,7.47,37,1,14,1.38,37,60,TRUE,TRUE,TRUE,TRUE,21.047619047619,TRUE
2019-02-18,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.6,25,1,3,0.2,25,120,FALSE,FALSE,FALSE,TRUE,40.0416666666667,TRUE
2019-02-19,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.2,25,1,1,0.2,25,60,TRUE,TRUE,TRUE,TRUE,42.5833333333333,TRUE
2019-02-20,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.4,26,1,2,0.2,26,60,TRUE,TRUE,TRUE,TRUE,31,TRUE
2019-02-21,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,34.5416666666667,TRUE
2019-02-22,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,40.1666666666667,TRUE
2019-02-23,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,15,0,0,0,16,580,FALSE,FALSE,FALSE,TRUE,45.5416666666667,TRUE
2019-02-24,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,25,1,0,0,24,580,FALSE,FALSE,FALSE,TRUE,26.7083333333333,TRUE
2019-02-25,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,43.5416666666667,TRUE
2019-02-26,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-02-27,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-02-28,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-01,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,7.88,31,1,8,2.95,31,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-02,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,5.77,28,1,6,3.74,28,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-03,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,17.96,35,1,14,5.12,35,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-04,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.4,26,1,2,0.2,26,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-05,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,7.93,26,1,2,4.14,26,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-06,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,1.38,26,1,4,0.59,26,70,FALSE,TRUE,TRUE,FALSE,,TRUE
2019-03-07,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-08,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,6.5,28,1,5,2.56,28,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-09,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
