indicador,valor
n_candidatos_gaibu,12
n_linhas_series_diarias,4380
n_comparacoes_pareadas_criterio,198
n_comparacoes_nucleo_prioritario,18
n_comparacoes_com_enseado,33
n_dias_mp10_validos_gaibu,262
