estacao_historica,ano_alvo,data_local,papel_serie,cod_estacao,nome_estacao_inmet,distancia_km,status_pareamento,n_timestamps,n_temp_validas,n_ur_validas,n_vel_validas,n_dir_validas,n_press_validas,n_pares_vento_validos,temperatura_media_bruta_c,temperatura_min_bruta_c,temperatura_max_bruta_c,umidade_media_bruta_pct,pressao_media_bruta_hpa,velocidade_vento_media_bruta_ms,velocidade_vento_max_bruta_ms,direcao_circular_media_bruta_graus,resultante_circular_r_bruta,vento_u_medio_bruto_ms,vento_v_medio_bruto_ms,velocidade_vetor_medio_bruta_ms,direcao_vetor_medio_bruta_graus,temp_16h,ur_16h,vel_16h,dir_16h,press_16h,vetor_16h,nuclear_16h,temp_18h,ur_18h,vel_18h,dir_18h,press_18h,vetor_18h,nuclear_18h,temp_20h,ur_20h,vel_20h,dir_20h,press_20h,vetor_20h,nuclear_20h,temperatura_media_c,temperatura_min_c,temperatura_max_c,umidade_media_pct,pressao_media_hpa,velocidade_vento_media_ms,velocidade_vento_max_ms,direcao_circular_media_graus,resultante_circular_r,vento_u_medio_ms,vento_v_medio_ms,velocidade_vetor_medio_ms,direcao_vetor_medio_graus,criterio_diario_principal_horas,fonte_meteorologica,imputacao,dia_mp10_valido,mp10_media_24h
CUPE,2021,2021-01-06,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.3291666666667,23.1,31.7,69.2916666666667,1011.32083333333,1.84166666666667,2.7,107.253762825977,0.765035685951253,-1.63817877479532,0.441938141342674,1.69674365151702,105.09750869931,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.3291666666667,23.1,31.7,69.2916666666667,1011.32083333333,1.84166666666667,2.7,107.253762825977,0.765035685951253,-1.63817877479532,0.441938141342674,1.69674365151702,105.09750869931,18,INMET,FALSE,TRUE,19.3023529411765
CUPE,2021,2021-01-06,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,25.4833333333333,20.8,31.6,78.5833333333333,993.525,2.05,4.3,83.783586071455,0.248710655741085,-1.20500486602465,0.221678107914905,1.2252256570411,100.423840672391,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25.4833333333333,20.8,31.6,78.5833333333333,993.525,2.05,4.3,83.783586071455,0.248710655741085,-1.20500486602465,0.221678107914905,1.2252256570411,100.423840672391,18,INMET,FALSE,TRUE,19.3023529411765
CUPE,2021,2021-01-07,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.6833333333333,25.4,30.7,67.875,1011.7,1.96666666666667,3,96.2366912131694,0.983218510222031,-1.92333598514276,0.220952676072577,1.93598589788477,96.5534057960448,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.6833333333333,25.4,30.7,67.875,1011.7,1.96666666666667,3,96.2366912131694,0.983218510222031,-1.92333598514276,0.220952676072577,1.93598589788477,96.5534057960448,18,INMET,FALSE,TRUE,14.0575
CUPE,2021,2021-01-07,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,26.3458333333333,23.3,31.2,77.4583333333333,993.845833333333,1.94583333333333,4.7,82.4037929516507,0.553735662260176,-1.66491256503141,-0.0835135715969816,1.66700580858026,87.1283969242434,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.3458333333333,23.3,31.2,77.4583333333333,993.845833333333,1.94583333333333,4.7,82.4037929516507,0.553735662260176,-1.66491256503141,-0.0835135715969816,1.66700580858026,87.1283969242434,18,INMET,FALSE,TRUE,14.0575
CUPE,2021,2021-01-08,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,28.0458333333333,25.1,32.1,67.375,1011.525,1.61666666666667,3,75.275096626012,0.960361844744714,-1.5230544072479,-0.269363440824384,1.54669046376126,79.9705283454792,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28.0458333333333,25.1,32.1,67.375,1011.525,1.61666666666667,3,75.275096626012,0.960361844744714,-1.5230544072479,-0.269363440824384,1.54669046376126,79.9705283454792,18,INMET,FALSE,TRUE,9.25428571428571
CUPE,2021,2021-01-08,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,26.3333333333333,22.2,32.3,76.6666666666667,993.525,1.95833333333333,4.4,56.2400061055456,0.468926335787352,-1.5223847835875,-0.318298172137468,1.55530355740763,78.1907894111489,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.3333333333333,22.2,32.3,76.6666666666667,993.525,1.95833333333333,4.4,56.2400061055456,0.468926335787352,-1.5223847835875,-0.318298172137468,1.55530355740763,78.1907894111489,18,INMET,FALSE,TRUE,9.25428571428571
CUPE,2021,2021-01-09,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,28.1625,25,32.5,65.9583333333333,1010.63333333333,1.81666666666667,2.9,76.9659003511583,0.943124009904056,-1.71775260512471,-0.470835674230647,1.78111208084751,74.6717102281878,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28.1625,25,32.5,65.9583333333333,1010.63333333333,1.81666666666667,2.9,76.9659003511583,0.943124009904056,-1.71775260512471,-0.470835674230647,1.78111208084751,74.6717102281878,18,INMET,FALSE,TRUE,14.0134782608696
CUPE,2021,2021-01-09,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,26.3166666666667,21.8,31.4,76.2083333333333,992.629166666667,2.04583333333333,4.3,54.149577553824,0.579780482831253,-1.5358959011608,-0.703405784269514,1.6893063418298,65.3932853042359,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.3166666666667,21.8,31.4,76.2083333333333,992.629166666667,2.04583333333333,4.3,54.149577553824,0.579780482831253,-1.5358959011608,-0.703405784269514,1.6893063418298,65.3932853042359,18,INMET,FALSE,TRUE,14.0134782608696
CUPE,2021,2021-01-10,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.125,22.6,31.5,71.0416666666667,1011.1625,1.475,3.2,55.7353159247504,0.433593098704257,-1.08757491252549,-0.492652200519258,1.19395367625017,65.6303144193666,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.125,22.6,31.5,71.0416666666667,1011.1625,1.475,3.2,55.7353159247504,0.433593098704257,-1.08757491252549,-0.492652200519258,1.19395367625017,65.6303144193666,18,INMET,FALSE,TRUE,14.535
CUPE,2021,2021-01-10,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,25.9708333333333,22,30.4,78.4166666666667,993.183333333333,1.82083333333333,4.3,56.3835534246352,0.483684423780755,-1.27159196026308,-0.517800430136976,1.37297611008194,67.8435305190952,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25.9708333333333,22,30.4,78.4166666666667,993.183333333333,1.82083333333333,4.3,56.3835534246352,0.483684423780755,-1.27159196026308,-0.517800430136976,1.37297611008194,67.8435305190952,18,INMET,FALSE,TRUE,14.535
CUPE,2021,2021-01-11,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.3041666666667,24.4,31.2,72.625,1011.09583333333,1.45,2.7,72.7535375501319,0.714179100298214,-1.16588952516691,-0.340842347727352,1.21469003902157,73.7039663002413,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.3041666666667,24.4,31.2,72.625,1011.09583333333,1.45,2.7,72.7535375501319,0.714179100298214,-1.16588952516691,-0.340842347727352,1.21469003902157,73.7039663002413,18,INMET,FALSE,TRUE,22.3675
CUPE,2021,2021-01-11,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,26.325,22.5,31.2,78.1666666666667,993.154166666667,1.84583333333333,4.1,54.585529752875,0.476364193926926,-1.36587435577774,-0.244838769755717,1.38764504789472,79.8374195776154,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.325,22.5,31.2,78.1666666666667,993.154166666667,1.84583333333333,4.1,54.585529752875,0.476364193926926,-1.36587435577774,-0.244838769755717,1.38764504789472,79.8374195776154,18,INMET,FALSE,TRUE,22.3675
CUPE,2021,2021-01-12,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.2166666666667,23.6,32.2,73.25,1010.90833333333,1.35416666666667,2.9,56.3857412822139,0.264922972608144,-0.868845784725021,-0.255831887269145,0.905727857680291,73.5929200131508,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.2166666666667,23.6,32.2,73.25,1010.90833333333,1.35416666666667,2.9,56.3857412822139,0.264922972608144,-0.868845784725021,-0.255831887269145,0.905727857680291,73.5929200131508,18,INMET,FALSE,TRUE,9.62705882352941
CUPE,2021,2021-01-12,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,26.2208333333333,22.5,31.1,77.6666666666667,992.966666666667,2.02916666666667,4.8,75.1463299143388,0.42042392721624,-1.45737909272662,-0.0366738377061206,1.45784045433263,88.558499455907,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.2208333333333,22.5,31.1,77.6666666666667,992.966666666667,2.02916666666667,4.8,75.1463299143388,0.42042392721624,-1.45737909272662,-0.0366738377061206,1.45784045433263,88.558499455907,18,INMET,FALSE,TRUE,9.62705882352941
