indicador,valor
n_station_years_referencia_total,6
n_station_years_integrados,5
n_station_years_pendentes,1
n_linhas_base_diaria_principal,1825
n_grades_diarias_integradas_ok,5
n_pareamentos_inmet_principal,5
n_pareamentos_precip_principal,5
n_valores_imputados,0
n_series_hibridas,0
