estacao_historica,ano_alvo,data_local,papel_precipitacao,cod_precipitacao,nome_precipitacao,distancia_precipitacao_km,precip_diaria_bruta_mm,precip_valida_60,precip_valida_70,precip_valida_90,flag_borda_2025,precip_diaria_analitica_mm
CUPE,2021,2021-02-21,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-02-22,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-02-23,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-02-24,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-02-25,principal,260720801A,Centro,2.31199229299342,4.52,TRUE,TRUE,TRUE,FALSE,4.52
CUPE,2021,2021-02-26,principal,260720801A,Centro,2.31199229299342,0.99,TRUE,TRUE,TRUE,FALSE,0.99
CUPE,2021,2021-02-27,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-02-28,principal,260720801A,Centro,2.31199229299342,32.16,TRUE,TRUE,TRUE,FALSE,32.16
CUPE,2021,2021-03-01,principal,260720801A,Centro,2.31199229299342,72.43,TRUE,TRUE,TRUE,FALSE,72.43
CUPE,2021,2021-03-02,principal,260720801A,Centro,2.31199229299342,2.57,TRUE,TRUE,TRUE,FALSE,2.57
CUPE,2021,2021-03-03,principal,260720801A,Centro,2.31199229299342,2.38,TRUE,TRUE,TRUE,FALSE,2.38
CUPE,2021,2021-03-04,principal,260720801A,Centro,2.31199229299342,3.56,TRUE,TRUE,TRUE,FALSE,3.56
CUPE,2021,2021-03-05,principal,260720801A,Centro,2.31199229299342,0.2,TRUE,TRUE,TRUE,FALSE,0.2
CUPE,2021,2021-03-06,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-07,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-08,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-09,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-10,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-11,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-12,principal,260720801A,Centro,2.31199229299342,0.2,TRUE,TRUE,TRUE,FALSE,0.2
CUPE,2021,2021-03-13,principal,260720801A,Centro,2.31199229299342,4.73,TRUE,TRUE,TRUE,FALSE,4.73
CUPE,2021,2021-03-14,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-15,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-16,principal,260720801A,Centro,2.31199229299342,1.38,TRUE,TRUE,TRUE,FALSE,1.38
CUPE,2021,2021-03-17,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-18,principal,260720801A,Centro,2.31199229299342,1.57,TRUE,TRUE,TRUE,FALSE,1.57
CUPE,2021,2021-03-19,principal,260720801A,Centro,2.31199229299342,4.73,TRUE,TRUE,TRUE,FALSE,4.73
CUPE,2021,2021-03-20,principal,260720801A,Centro,2.31199229299342,6.12,TRUE,TRUE,TRUE,FALSE,6.12
CUPE,2021,2021-03-21,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-22,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-23,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-03-24,principal,260720801A,Centro,2.31199229299342,34.25,FALSE,FALSE,TRUE,FALSE,
CUPE,2021,2021-03-25,principal,260720801A,Centro,2.31199229299342,0.6,TRUE,TRUE,TRUE,FALSE,0.6
CUPE,2021,2021-03-26,principal,260720801A,Centro,2.31199229299342,13.6,FALSE,FALSE,TRUE,FALSE,
CUPE,2021,2021-03-27,principal,260720801A,Centro,2.31199229299342,20.93,TRUE,TRUE,TRUE,FALSE,20.93
CUPE,2021,2021-03-28,principal,260720801A,Centro,2.31199229299342,47.39,TRUE,TRUE,TRUE,FALSE,47.39
CUPE,2021,2021-03-29,principal,260720801A,Centro,2.31199229299342,5.32,TRUE,TRUE,TRUE,FALSE,5.32
CUPE,2021,2021-03-30,principal,260720801A,Centro,2.31199229299342,14.98,TRUE,TRUE,TRUE,FALSE,14.98
CUPE,2021,2021-03-31,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-01,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-02,principal,260720801A,Centro,2.31199229299342,1.38,TRUE,TRUE,TRUE,FALSE,1.38
CUPE,2021,2021-04-03,principal,260720801A,Centro,2.31199229299342,1.18,TRUE,TRUE,TRUE,FALSE,1.18
CUPE,2021,2021-04-04,principal,260720801A,Centro,2.31199229299342,11.84,TRUE,TRUE,TRUE,FALSE,11.84
CUPE,2021,2021-04-05,principal,260720801A,Centro,2.31199229299342,1.98,TRUE,TRUE,TRUE,FALSE,1.98
