estacao_historica,ano_alvo,cod_inmet,nome_inmet,distancia_inmet_km,cod_precip_principal,nome_precip_principal,distancia_precip_principal_km,n_dias_mp10_validos,n_temp,pct_temp,n_ur,pct_ur,n_vel,pct_vel,n_dir,pct_dir,n_press,pct_press,n_vetor,pct_vetor,n_precip_principal,pct_precip_principal,n_precip_sens,pct_precip_sens
CUPE,2021,A301,RECIFE,38.7434579472453,260720801A,Centro,2.31199229299342,347,297,85.5907780979827,290,83.5734870317003,297,85.5907780979827,297,85.5907780979827,297,85.5907780979827,297,85.5907780979827,305,87.8962536023055,295,85.014409221902
Gaibu,2019,A301,RECIFE,30.0048785608036,260290204A,Enseado dos Corais,0.116707872718135,262,262,100,262,100,165,62.9770992366412,165,62.9770992366412,262,100,165,62.9770992366412,191,72.9007633587786,201,76.7175572519084
IFPE,2018,A301,RECIFE,37.320922014816,260720801A,Centro,2.94037517011968,275,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273,248,90.1818181818182,253,92
IPOJUCA,2021,A301,RECIFE,43.1702325218827,260720801A,Centro,7.32836097674827,329,279,84.8024316109423,272,82.6747720364742,279,84.8024316109423,279,84.8024316109423,279,84.8024316109423,279,84.8024316109423,287,87.2340425531915,279,84.8024316109423
IPOJUCA,2025,A357,PALMARES,65.7758532771756,260720804A,Rurópolis,7.14376732272583,312,312,100,184,58.974358974359,312,100,312,100,312,100,312,100,287,91.9871794871795,230,73.7179487179487
